symptoms,nyumc,goviral,fluwatch,hongkong,hutterite,clinically_collected,individually_reported,health_worker,male,female,population
fever,1.0266204545176103,0.3228947125174527,-0.1497889569655143,1.630022826600797,0.702634261348052,1.0266204545176103,-0.026126983346427126,1.3424906595057953,-0.10641080087743443,0.07271606240223351,0.018592083991729434
sorethroat,-0.188527059701485,0.3937177663405821,-0.30159636148166136,0.6265465204986517,0.20787206299588443,-0.188527059701485,0.0753460907180033,0.7318976241185021,0.7259783413101174,0.5705189291800093,0.6118670865235457
cough,0.9365772126475557,0.3158559447823459,-0.006033149964511531,1.260509274277415,0.7650259267773453,0.9365772126475557,-0.018568752071790363,1.2275117808961908,0.6361070995658639,0.6627249158147016,0.6574421081384121
muscle,0.9047702942601308,0.39400439413578664,-0.07302701580681709,0.1639997163104066,-0.11559521486481572,0.9047702942601308,-0.19742799900805233,0.080098838304355,0.3910172403311423,0.030020294574325004,0.2279091898632083
headache,-0.025649730687716803,0.0,0.05681932114483674,0.26087033869710774,-0.28365670215121935,-0.025649730687716803,-0.22408508754325718,0.17794974328562543,0.6756221903099563,0.3014658958643156,0.40244669913047265
fatigue,-0.6481685407825251,0.34797564477012827,0.0,0.0,-0.025152200998437433,-0.6481685407825251,0.6927846746558358,0.07039587944272768,0.4222587204705561,0.6847135807584734,0.6265481448301707
vomit,0.05277760991421106,-0.04911983247593543,0.0,0.0,0.0,0.05277760991421106,0.06302225443935631,0.0,-0.04436617032314853,-0.5444869108437522,-0.47759555531902703
nausea,0.16678484670520677,-0.4453925062558363,0.0,0.0,0.0,0.16678484670520677,-0.35497876815231094,0.0,0.051666398251403914,0.03877214969776672,-0.0506771522276281
diarrhea,-0.6925699830117087,-0.11111725490883312,-0.05965657349558433,0.0,0.0,-0.6925699830117087,-0.13764906005628028,0.0,-0.7563975327442329,-0.2984708628582047,-0.46642762439969987
chills,0.0,0.01759971480312778,0.0,0.0,0.21697368756438917,0.0,0.5286898639079637,0.1414961852273106,0.9709174228857105,0.7132892492081893,0.8004186023145761
sneeze,0.0,0.0,0.21952621363202238,0.0,0.0,0.0,0.2749256900452265,0.0,0.38596880661062116,0.34207739149352584,0.458717417142529
shortness of breath,0.0,-0.37688123934783235,0.0,0.0,0.0,0.0,-0.6609753107068042,0.0,-0.8525223588883317,-0.07125983153774328,-0.4822757125212775
phlegm,0.0,0.0,0.0,0.2044521478789608,0.0,0.0,0.0,0.23685930994075644,0.9379828955321647,0.8804569369820958,0.9421632161059615
blockednose,0.0,0.0,0.12897322965119218,0.0,0.016562301673313868,0.0,-0.03717354681766318,0.29718126907158166,0.5566613562671681,0.39888238750645383,0.3683055784992431
earache,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
leg pain,0.0,-0.8372533565148003,0.0,0.0,0.0,0.0,-0.6029560141086896,0.0,-0.9575888584700801,-0.5305619696359772,-0.7426505353635631
runnynose,0.0,0.5008540670444019,0.7091369296786248,1.075529559254938,0.3874911565818155,0.0,0.5564770461806015,0.9303048154957682,2.143082132423243,2.1601628941436632,2.1743492155145274
