symptoms,nyumc,fluwatch,hongkong,hutterite,clinically_collected,individually_reported,health_worker,population
fever,0.9971320529508856,-0.09581350391066237,1.4559030162001432,0.6943173094518635,1.0159975173079046,0.07844530294977758,1.4009462809145226,-0.0191981160983328
sorethroat,-0.25650802799291783,-0.2319227971385881,0.5946310088759703,0.24373679235995432,-0.2570987697084677,-0.04405757105601124,0.7294259707768389,0.6087323741790023
cough,0.9419379842360165,-0.05099949669282983,1.216055047889665,0.7608018689452694,0.9616431012087365,0.058839938957890414,1.2401813354474487,0.6572450458372232
muscle,0.7984265531737267,-0.12152137617440728,0.07753636377102505,-0.10739569481537303,0.8082209935806641,-0.19875309818919523,0.06513078561953003,0.20443630495638904
headache,-0.07972837786670095,-0.017038420314433603,0.29426819122344416,-0.28282662860162777,-0.07978185199586396,-0.1844853121755713,0.11066204836854882,0.3870427620218587
fatigue,-0.7190029429334581,2.501836921183123e-05,2.2017867659339805e-05,-0.031670013560948396,-0.7254464291300295,0.6472350356766761,-0.02233907943731822,0.6761366322767948
vomit,0.01233412183233646,9.969928018022426e-06,3.0270914627432432e-05,-2.866166401715523e-07,0.012338431822490135,0.26029653395094987,2.004660578962108e-05,-0.4749898749502591
nausea,0.5203035347004317,2.0075781945096543e-05,2.6458668875470768e-05,-8.6672686053511e-06,0.5221512396672896,-0.299394462795042,1.0360276594548605e-05,-0.05912663817212664
diarrhea,-0.8177490921290107,0.1282532574688952,2.841895550019797e-05,9.022349334524146e-05,-0.8242846750938222,-0.1091407822984464,2.010705965503997e-05,-0.39413327101658713
chills,1.702289968783737e-05,1.826913347576918e-05,3.854468013807172e-05,0.13061288132469567,1.5262374237504048e-05,0.4645528083519471,0.1410503298590382,0.7810267153135737
sneeze,1.9341991954059942e-05,0.27253251287262314,3.2942051448007236e-05,-5.502965286911251e-06,1.5079504990842023e-05,0.19306005740923754,-1.5101590395159454e-05,0.3877553867237179
shortness of breath,1.783265171686316e-05,1.8928255419922743e-05,3.409535136170571e-05,4.060408251076599e-06,1.549842407653734e-05,-0.659434338632221,2.021929301137135e-05,-0.4502890800251288
phlegm,1.6870778429853724e-05,-2.0197825685334514e-05,0.27800433615342335,1.4080897640412054e-05,1.5298040908128164e-05,9.010739522552038e-06,0.2295289702978378,0.9714330038373409
blockednose,1.8687220112787757e-05,0.13516824077692358,3.943390258696879e-05,0.051326639830870754,1.527500811068198e-05,0.05717642551525012,0.3550990489034125,0.40531892189022267
earache,1.94741350941379e-05,-2.5165833011657585e-05,3.695779807108948e-05,-1.3299199513451356e-05,1.5538944901501647e-05,-5.607340865942682e-05,0.0004812253565026307,-4.9297408086680116e-05
leg pain,1.8383306632107492e-05,1.9977451861061306e-05,3.6111329362413665e-05,-1.4771894006001767e-05,1.6042033883715474e-05,-0.5714742005970632,2.00671199488947e-05,-0.6724908046413054
runnynose,1.851108546310167e-05,0.6304398701899427,0.9871335202823053,0.36208614333680544,2.001794979775856e-05,0.5702389153845755,0.9053094298501236,2.0694515961358286
