symptoms,nyumc,goviral,fluwatch,hutterite,clinically_collected,individually_reported,health_worker,population
fever,0.02395782235011128,0.001254587398131687,-0.007424230354492382,-0.005441506680475094,0.024785039615432533,-0.0047176972749201134,-0.009797361640920956,-0.02214579706439611
sorethroat,-0.10151284916663017,-0.14237729320440684,-0.15738242503202288,-0.07670391539159982,-0.12373252482333513,-0.15726494457851015,-0.09523184650379074,-0.13505383991697106
cough,0.023617784747052548,0.022291145003620706,0.043561494838123535,0.006271515511477251,0.02764617823836791,0.03452859207562134,0.012877383036985955,0.02631732738057448
muscle,-0.009434455741514695,0.00590451298115115,0.0033052516763344645,-0.09151631303897775,-0.011283393399999822,-0.0010320126811437676,-0.08428148460756829,-0.022438092819473152
headache,-0.11176176743167546,0.022255641292420095,-0.0356708584608388,-0.05580365107254047,-0.09790534976759215,-0.029012854025964104,-0.05209057946305356,-0.04871390479917698
fatigue,-0.01570398853659705,-0.0003661601390291826,0.0032557260525947146,-0.11771151887240469,-0.006088385634836888,-0.0007694383091731032,-0.051036488927808585,-0.010347011954327207
vomit,-0.014319734363836753,0.023024091291714236,0.0024380394203012646,0.01943096583965178,0.12468259778401258,0.013546918778266824,-0.01223130379428022,0.029284696106924163
nausea,0.010197273270428662,0.0022957581566059246,0.022388368381167326,0.013355513147907385,0.019349960569743068,0.017050508267016096,0.020673140692627,0.023986044857791242
diarrhea,-0.018028860777451295,-0.038441217998950436,-0.03522521412952795,-0.01959466140779905,-0.020842486880316355,-0.031710269597986174,0.00031589897168955635,-0.02076177417511569
chills,-0.025210101122811857,-0.03762401320630007,-0.01881661733823762,-0.09959688522904606,0.018345368498486562,-0.027891645504677178,-0.09256107067127181,-0.03510705868889792
sneeze,0.006194094076225377,-0.0186622066395433,-0.00948755386285619,-0.006247374019339594,0.026230546352973866,-0.01150148850121734,-0.019715617861936548,-0.013522390107654814
shortness of breath,-0.0017265505144102413,0.009562744832316422,0.00844939051380844,-0.004069152420126082,0.03056886839525036,0.010515391666703185,0.017814127735886493,0.015233071176703097
phlegm,0.07709079451167095,0.02991464057332547,0.027890534491270734,-0.01195537337633236,0.017076113970501343,0.02475042628330411,0.005167994246498064,0.017618597038712783
blockednose,-0.0033801256750229628,0.03073579477041883,0.030970230072523988,0.020866102509293806,0.02209413331925144,0.03450103414186484,0.0377812834157999,0.03065075755954457
earache,0.00982313386491213,0.008835552217957805,-0.001012302361198534,-0.011168404773026122,0.045064057203854244,-0.02093684047561173,-0.05821077696061318,0.022084098043276927
leg pain,0.0224327554967508,0.007085633634135764,0.02084803886934318,-0.010954999308310065,-0.011837451870214354,0.013279031800094182,-0.028045903044162115,0.0002462247358675601
runnynose,0.006273506813813645,0.012671462730149276,0.008335496563711563,0.0030153008544504057,0.005075868619867127,0.010008747266253483,0.0073146595974384835,0.00772705487889566
