symptoms,nyumc,fluwatch,hongkong,hutterite,clinically_collected,individually_reported,health_worker,population
intercept,-0.4447179584576437,-0.18829083399560997,0.04846030546686153,-0.42634075206697997,-1.2652206868393352,-0.5243865035739733,-0.6302549197361604,-0.8437815240077229
fever,0.43601024010226763,0.1314104157631687,0.8557269950531772,0.3321843808828174,1.167147723188233,0.46904459728388015,0.8904085404584389,0.8630616802733933
sorethroat,-0.11341768442503519,0.061503063406193936,0.7193716681367524,0.22078923853588914,-0.13988133197864272,0.02263606129679,0.34001322723693195,0.06009433456041241
cough,0.09367602838023492,0.11558614683409807,0.6577701222958254,0.2993822292328778,0.7163296214408688,0.37694682046702427,0.6488055133911468,0.5875037150504978
muscle,-0.13500332588055872,0.0837831845692752,0.3984310224415069,0.06462981193148619,-0.1124701876158132,0.05654692930837641,0.1694154702856967,0.02773803323979583
headache,-0.5243766185363894,-0.008212879343821616,0.40513832160966257,0.07337813454525255,-0.4146961751161822,-0.04806268935470592,0.15041342748963504,-0.1237386252142931
fatigue,-0.48234835535022436,0.2979758970190274,0.391485825129294,0.06081228498973795,-0.3343485298507556,0.22984749859987375,0.16020555622083613,-0.0006437204412546027
vomit,-0.13616451218279665,0.17619160358444663,0.44100957325305806,0.09499845856252957,-0.2084795706449945,0.09984331375434388,0.17095606067454078,0.008680284010814054
nausea,-0.11310866227028754,-0.14510354759595243,0.4574289989605987,0.09939007751850998,-0.11266940629806554,-0.14045163829751472,0.21047376223686232,-0.021100021417611303
diarrhea,-0.4854980244520881,0.10055933932388163,0.4743166597484008,0.10397090964060432,-0.9237830296130891,-0.2941970593864467,-0.14495807975846117,-0.4375861230617928
chills,-0.07477705310840366,0.21964974311238605,0.5124329963398748,0.12015539520282839,0.051328617520226744,0.2612788696141494,0.3333878779548927,0.2202659483706701
sneeze,-0.07892806969074746,0.15420624778371167,0.5101979108205205,0.10641143558490668,-0.15858305555411448,0.06349920228256761,0.1868104419225449,0.03950947511864761
shortness of breath,-0.08332169964316284,-0.10086021385839837,0.5287462001115163,0.11129260290362576,-0.11052584703916758,-0.11571209501901553,0.23474836681201694,0.011377728160699763
phlegm,-0.08797319391613195,0.09181920892592248,0.6786216915165459,0.29513008093840676,0.20726569847579818,0.25176386525324623,0.5705980100287104,0.3454157624816522
blockednose,-0.09290005234910259,0.153083307665186,0.4763957110001764,0.10237240256913216,-0.06488944965955123,0.13495962590734217,0.24572172102629664,0.11176427968034011
earache,-0.09812007267460812,0.08921826810240963,0.5388225388806454,0.15161591670046462,-0.07553757415125963,0.07627889387432558,0.2940490250930873,0.10479184244745329
leg pain,-0.10365278699757746,-0.11772476065283463,0.5582276525922542,0.15833202391761295,-0.17001527635465097,-0.1535122744394557,0.26007329339754603,-0.00990164002083127
runnynose,-0.10951928936033194,0.2917456271674675,0.6774427914325853,0.3420097771842485,0.3346386737048426,0.4415581928820146,0.5829907579495048,0.4593482493081906
