symptoms,goviral,fluwatch,hongkong,hutterite,clinically_collected,individually_reported,health_worker,population
intercept,-0.13836988754796176,-0.18779694651198803,0.030844347817407414,-0.4261607645835367,-2.32911863678409,-0.335956128444887,-0.6415407124779953,-2.316493675633006
fever,0.20413701801642642,0.13173084930310017,0.8586402458174678,0.3332866055635525,2.198773960829145,0.33198019998008516,0.8947410756365654,2.182050262737617
sorethroat,0.07700954006703653,0.06144306649077691,0.7204180080454813,0.2200582715222599,-0.17677656739718628,0.049980317703393014,0.3401202852329033,-0.17264426625458318
cough,0.08719459156577469,0.11419661463201208,0.6635641896263187,0.30064690015167067,1.665663156400963,0.2266770293260204,0.6519364064438244,1.6494003304151628
muscle,0.04650652563282458,0.08370669246040627,0.3966332622941771,0.06507404805319121,-0.07800287708115558,0.05284027243597101,0.16930049117471252,-0.07540547816282443
headache,-0.08198286064081944,-0.008076186708472377,0.4035090196618256,0.07204326063467698,-0.25212233710405707,-0.06250938740030515,0.14872594985285206,-0.24799666892891262
fatigue,0.27116066514559234,0.2981705517620394,0.3926322554672514,0.061056335765622305,-0.12836006531874933,0.2547779360182997,0.1606873739473886,-0.12384695526629673
vomit,0.09828413495952598,0.1763992363648794,0.4392341436694143,0.0953831798686395,-0.3063223951705336,0.10346662150810443,0.17120707425939638,-0.30014261076971976
nausea,-0.2433269777084594,-0.14522965067670934,0.45581921889780297,0.09980107827310164,-0.11210015649469186,-0.18831801559232164,0.21081600237091122,-0.11021842808744665
diarrhea,0.0341240581774962,0.10072101095232029,0.47291256495772294,0.10440881477004517,-2.463625145449593,-0.09915031964459178,-0.14615512907246916,-2.025620093967971
chills,0.16205019188190875,0.21893060450395574,0.5113974617312128,0.12011512798795873,0.4925378420857232,0.20951213635340418,0.3340336431774061,0.4518177385776131
sneeze,0.11367771934872471,0.15495354007281326,0.5091517159273915,0.10687193191975321,-0.4360211715850816,0.09704303704538404,0.18607699846605757,-0.3234044362550549
shortness of breath,-0.1452148475144872,-0.10091052546014351,0.527794345705887,0.11178106180745112,-0.20427299783364752,-0.12995170695012603,0.23427269288695898,-0.15171294417746342
phlegm,0.05871300829772513,0.09198057828516056,0.679657084804815,0.2955538315378962,1.1889016760725473,0.13917413932816208,0.5707337077765389,1.0203795114539895
blockednose,0.13580241101544963,0.1526432930024052,0.47477910550523883,0.10174306845435976,0.028423259032340838,0.1374901647705176,0.24424536601663804,0.06280331330274325
earache,0.06545897415684777,0.08936677166836603,0.5387896491148734,0.1521002726878574,-6.786859948344937e-10,0.07290704536011317,0.29402377973540694,0.039719151687414925
leg pain,-0.12526458837192433,-0.11779930459253618,0.5579972458928523,0.15882960825654002,-0.3924199537360312,-0.1339964726756217,0.2595999660935041,-0.293067461586585
runnynose,0.27440652484676564,0.2929027514357972,0.6730978871713935,0.34252456506705364,1.6736786525889322,0.3194444889952317,0.5784531654442489,1.3812506307465506
