symptoms,nyumc,goviral,fluwatch,hongkong,clinically_collected,individually_reported,health_worker,female,male,age 0-4,age 5-15,age 16-44,age 45-64,age 65+,population
intercept,-0.44471795839247763,-0.1392853195153243,-0.1882908340142726,0.0484603054688022,-2.4440273070904204,-1.152214667849761,-2.212291199064012,-2.1211999139893827,-2.0634120187607907,-2.019968560956224,-2.0578072112495454,-2.0370143421393623,-2.070747899867967,-1.9895861571200797,-2.052785515438327
fever,0.43601024010779366,0.20320242062302685,0.1314104157627989,0.8557269950531357,2.3207820924959366,1.2452267301943567,2.3038784959878207,2.0993295124235707,2.0510482205925715,2.022197903184188,2.0421482623385088,2.020236962790713,2.0508064668188495,1.9973867985878684,2.041237630431188
sorethroat,-0.11341768441145716,0.0768316355510057,0.06150306341267642,0.7193716681368132,-0.15518780933760556,-0.04126974924682866,0.019109014093678156,-0.07365232490789192,-0.08386399455890395,-0.075591612223606,-0.07675388229263547,-0.07779045213605984,-0.07708104670626992,-0.07631722908451166,-0.07730788439562951
cough,0.09367602839608469,0.08870051460270911,0.11558614682219698,0.6577701222965953,1.6692795755421752,0.9705707757783779,1.651314509962437,1.5566662181483037,1.5013232665787197,1.4801472240445361,1.506667246498906,1.4826713549485486,1.5093544185796905,1.4596890571636942,1.4999929386131554
muscle,-0.1350033258796763,0.04660865015919832,0.08378318461892187,0.39843102244176853,-0.295086977509451,-0.12703997818861482,-0.18094172614890372,-0.19454129452082342,-0.18319560807247448,-0.18592503623974044,-0.18771188977245926,-0.18480777902234014,-0.19097301319327525,-0.1837687359283109,-0.18732018876819714
headache,-0.524376618530185,-0.08200089477722194,-0.008212879343086718,0.4051383216099136,-0.38787507258183274,-0.19077578187790237,-0.2030165369913256,-0.26566962338723454,-0.2650146995300456,-0.26062219579836826,-0.26362297174682686,-0.261726973587281,-0.2659448964321137,-0.25926254618191386,-0.2631814690184538
fatigue,-0.4823483553314092,0.2703732260011238,0.2979758970207406,0.39148582512902463,-0.2536375538880251,0.07695271839071494,-0.03977643100109049,-0.10387580841827579,-0.09428271564275137,-0.08596927312671743,-0.09304557024449323,-0.0873686928699014,-0.09458782200172311,-0.07958577249492638,-0.091397364572953
vomit,-0.13616451216936892,0.09751558302437702,0.17619160358924518,0.44100957327176676,-0.7277085196806476,-0.34827297925019113,-0.6365780679588169,-0.5796273989772388,-0.5365313308249577,-0.5419658771163953,-0.5491358152256461,-0.5408158052960164,-0.5558122430131429,-0.5297202071944316,-0.5480559675141702
nausea,-0.11310866263790713,-0.2434316489864095,-0.14510354759511185,0.4574289990079167,-0.16162010756666387,-0.13434056455458165,-0.017282921152578342,-0.08678341278900814,-0.10556210378501896,-0.10315205179919648,-0.09925167262148737,-0.10287522095672896,-0.09838081192365039,-0.10804121019251767,-0.10041254666951929
diarrhea,-0.48549802445891244,0.03500144310309905,0.10055933932513277,0.47431665988594474,-2.161531670879691,-1.3384512708212053,-2.1671951946461396,-2.0915717064670765,-2.0207526385669192,-1.998893777592335,-2.0329210321208926,-2.015810629641688,-2.0386429910039054,-1.9535244614435106,-2.0207725004826083
chills,-0.074777053160034,0.16201902842341118,0.21964974311025293,0.5124329963689669,0.5805584640065322,0.49032252651071495,0.7134476430445619,0.6190487246617561,0.5795368600738685,0.5860772021795635,0.5930943142896195,0.593568946640408,0.596078978039527,0.5762033594067677,0.5915470064537508
sneeze,-0.07892806977892701,0.1133385339606789,0.15420624778667658,0.5101979108411695,-0.3533494000046175,-0.16189832117551214,-0.3237250937988708,-0.324144992819425,-0.3139530324343044,-0.3084647250848949,-0.3148371580331464,-0.31038289647031625,-0.3152776032891734,-0.29852242333284107,-0.3120608442623913
shortness of breath,-0.08332169962882448,-0.14626621799396455,-0.10086021385351981,0.528746200129687,-0.02768766870139321,-0.06962433462740086,0.11973636094309947,0.016931970536708363,-0.026983388536893083,-0.01824841130283242,-0.011682281698313018,-0.010850635111440382,-0.011099477542933722,-0.025882516556734653,-0.012986742371378313
phlegm,-0.08797319397004846,0.05848691430383663,0.09181920892751125,0.678621691527485,1.1193563448792943,0.7898058469553005,1.334299477546963,1.1856477029612342,1.1218655418597159,1.1126220066250696,1.1502257912023055,1.1304142190981397,1.135194070712645,1.0976498039996525,1.13234700397328
blockednose,-0.09290005240312742,0.13542733058297907,0.15308330766734016,0.4763957110129374,0.024773905589320418,0.06441103529688796,0.07289075767403169,0.05193806603663244,0.04808818132572892,0.05008070504058526,0.04996938232132228,0.050539334723898974,0.048643023907620875,0.04987377550529093,0.049824814064153636
earache,-0.09812007267118472,0.06520919169217992,0.0892182681126931,0.5388225388909451,-0.017094217636224814,0.03347043154395909,0.06376235982305128,0.028126403469178614,0.020520959643183876,0.0229853586471864,0.023976742170560113,0.02408564880580994,0.02210064581821374,0.02219029049035107,0.02332049948511093
leg pain,-0.10365278699576463,-0.12642688866476126,-0.11772476064530463,0.5582276526096546,-0.10577393311455871,-0.10688795907575921,0.02095358850203712,-0.08237897440036909,-0.10233081813133138,-0.10844568875162593,-0.10112549787476105,-0.09655280191507964,-0.105421405883346,-0.1120580047788268,-0.10201792089073392
runnynose,-0.10951928941256646,0.27437166751026054,0.2917456271707956,0.6774427914461354,1.7166844470815765,1.2891803536681445,1.8345850133087451,1.7206416748688091,1.7015191221562627,1.6954167519145233,1.704118773885355,1.698634353371432,1.7051484582549166,1.687201674267994,1.7017284937982728
