symptoms,nyumc,fluwatch,hongkong,hutterite,clinically_collected,individually_reported,health_worker,female,male,age 0-4,age 5-15,age 16-44,age 45-64,age 65+,population
intercept,-0.4447179584961889,-0.18829083399546875,0.048460305468593035,-0.42634075206075406,-2.4440273071064698,-1.8450918424409373,-1.7923592890155013,-2.075330238169178,-2.089931495903147,-2.0696325535491433,-2.083001951387804,-2.0814247672986266,-2.0818910902235457,-2.069469792769417,-2.078742885759346
fever,0.43601024010686973,0.1314104157663917,0.8557269950541093,0.3321843808816938,2.3207820922884483,1.9494942227949574,1.8490071217188861,2.0587778326249375,2.0757431510035147,2.0637419499788794,2.0661789969871527,2.0677983118742826,2.0650092625371537,2.0635905389335987,2.0659100760797275
sorethroat,-0.11341768442455846,0.06150306342071654,0.7193716681368467,0.22078923852126248,-0.15518780933964316,-0.11280300118483641,0.0773642966498832,-0.08029508384140649,-0.08898157277838087,-0.08104491881218197,-0.08303848975993366,-0.0830225436734977,-0.08287710888914512,-0.07997104970392022,-0.0827906662877249
cough,0.09367602838069788,0.11558614683483087,0.6577701222938914,0.29938222923967783,1.6692795755374235,1.4816231594540892,1.334256401240332,1.5226406341721157,1.5305722167713705,1.5193230040691377,1.524959827280735,1.5233507712792345,1.5241283129128607,1.5180898441232165,1.523337203918061
muscle,-0.13500332588393696,0.08378318462056043,0.39843102245506057,0.06462981192354005,-0.29508697746410284,-0.23239788711602785,-0.10969716749718153,-0.19939271909946607,-0.19165462038874842,-0.19473299162516433,-0.19562208505820586,-0.19381297712606166,-0.19799346265755458,-0.19351562179551896,-0.1952137889806514
headache,-0.5243766185406096,-0.008212879345803253,0.4051383216367901,0.0733781345079505,-0.3878750725847433,-0.26722004963508267,-0.1235361288625649,-0.2634017081717103,-0.263004557238788,-0.2590241968488637,-0.2622760742373562,-0.26067794877802125,-0.2634952935820509,-0.25792177063453614,-0.2614027482326357
fatigue,-0.4823483553554002,0.29797589701980787,0.3914858251313628,0.06081228498400215,-0.2536375538962168,-0.048099686698061195,-0.0036557851267541297,-0.10904818021898965,-0.11019836147476603,-0.10665701565572583,-0.10937610944735957,-0.10871692465012256,-0.10919642665486695,-0.10561165752963264,-0.10840727581472562
vomit,-0.13616451218330178,0.17619160358189662,0.4410095732733952,0.094998458559708,-0.7277085196999133,-0.6278227384501422,-0.4396715770097176,-0.5697414623167141,-0.552367512005699,-0.5588595782728891,-0.5598585524321158,-0.5587612726632329,-0.5574428777353009,-0.5556758832469697,-0.5588979162911017
nausea,-0.11310866264586705,-0.14510354759834648,0.4574289990103206,0.09939007751555358,-0.16162010768892066,-0.08197705060828453,0.02706743410957827,-0.0811458975752945,-0.08433766010651778,-0.07803554311827751,-0.08078564658684284,-0.08110941813386585,-0.08016921527095983,-0.07589838248049574,-0.08023221979791854
diarrhea,-0.48549802447714674,0.10055933932626585,0.4743166598202973,0.10397090964146563,-2.161531670863589,-2.074032728194501,-1.7051432836551577,-2.0365281209004182,-2.0728488559703813,-2.050957430812863,-2.054766587328337,-2.030225071862435,-2.040575844032321,-2.047312116136431,-2.047758832129151
chills,-0.07477705320521794,0.21964974311187993,0.5124329963480252,0.12015539519998449,0.5805584639930784,0.6402963611449379,0.6181214557201015,0.6013504385546473,0.5923951468908306,0.5960562448130502,0.5959635490847495,0.5995542952476847,0.5977094403701741,0.595912631961266,0.5969652625267503
sneeze,-0.07892806975444672,0.15420624778334152,0.5101979108290848,0.10641143558185552,-0.35334940008691174,-0.3150770679687309,-0.22192154582369963,-0.31181916669254617,-0.32292143305616733,-0.3174929564424604,-0.31740616140780054,-0.31108589797249636,-0.3134491113777028,-0.31611199681508917,-0.3157901805240764
shortness of breath,-0.08332169960403749,-0.10086021385992118,0.5287462001341665,0.1112926029038762,-0.027687668657367825,-0.04883918611620747,0.1203103145983945,-0.01673934399781757,-0.02623537427520284,-0.018269813120343252,-0.01859334208076287,-0.009627864443540163,-0.015097600812898404,-0.016026140919764852,-0.01724185669601544
phlegm,-0.08797319391184469,0.09181920893266382,0.6786216915267564,0.29513008093507764,1.1193563448709043,1.1672497737522896,1.1332948369784552,1.1482166857470117,1.1489413822159276,1.1472441296163671,1.1477354596309304,1.1461213362123346,1.147007522191256,1.1470798195586622,1.1474790077407815
blockednose,-0.0929000524095651,0.15308330764481282,0.47639571105119016,0.10237240255765023,0.02477390556883752,0.04432020462730907,0.08503432535024152,0.04772798545496289,0.04639617271612414,0.04766685761359113,0.04689094497256019,0.0493771194257485,0.048644864955656675,0.04871241198667997,0.047911330609239904
earache,-0.09812007270627573,0.08921826810856094,0.5388225389096111,0.15161591669307875,-0.017094217643001588,0.0143189691837999,0.09662562757103023,0.02512298958496824,0.023780942137897547,0.02590256331921041,0.024158273659336708,0.028882385917516434,0.027256720150929187,0.027943213374152773,0.026140639228906103
leg pain,-0.10365278703132293,-0.11772476064401097,0.5582276526082762,0.15833202391303225,-0.10577393315753948,-0.0994210239461239,0.052898910068932985,-0.0983473354084515,-0.0987015602808845,-0.10063660366928373,-0.10180880953735727,-0.09670559106550014,-0.09410044160126405,-0.09591513572765364,-0.09800580593992675
runnynose,-0.10951928942228806,0.29174562716937436,0.6774427914532859,0.34200977718107906,1.7166844470721525,1.7549898100199983,1.5580345054240547,1.6981863967430746,1.6977805480256196,1.698471476653304,1.6979245062298838,1.6968389902416354,1.6973679311704681,1.697946330933792,1.6978210697137823
