symptoms,nyumc,goviral,fluwatch,hutterite,clinically_collected,individually_reported,health_worker,female,male,age 0-4,age 5-15,age 16-44,age 45-64,age 65+,population
intercept,-0.4447179584872263,-0.13928531951526257,-0.18829083399553204,-0.4263407520541965,-2.4440273071057304,-1.1522146679017191,-2.315238313917366,-2.163559849833918,-2.094374252066952,-2.050890941405665,-2.0893807133850992,-2.067491245614509,-2.1031363714709874,-2.01926730420642,-2.085612930484475
fever,0.436010240106238,0.20320242062333832,0.1314104157632973,0.33218438088043695,2.3207820923911604,1.245226730239373,2.1735547449662955,2.0570818692443558,2.0139710243699636,1.9814702432771107,2.0025552572209246,1.9825110497214373,2.008905604089442,1.9598807261603284,2.001708381773496
sorethroat,-0.11341768442589406,0.07683163555261963,0.06150306341336598,0.22078923852123006,-0.15518780933999132,-0.04126974924744942,-0.08372471156603656,-0.11087494168905415,-0.11324021799894057,-0.107207909588379,-0.10895603635396656,-0.10814264302741494,-0.10978572308869439,-0.10587628304513841,-0.10921440070813124
cough,0.09367602839509326,0.08870051460275541,0.11558614681158202,0.29938222922376767,1.6692795755406107,0.970570775808173,1.557369728666009,1.519443323320042,1.4751578022151635,1.451132880246362,1.476506106220438,1.4551282868233444,1.4792253216154854,1.4333675276679498,1.47047589214221
muscle,-0.13500332588422134,0.04660865015385325,0.08378318456888968,0.0646298119265664,-0.29508697746409795,-0.12703997821385923,-0.24887465447925422,-0.22183453415433213,-0.20266567055025192,-0.20653980075993106,-0.2095188589307398,-0.20489613003215196,-0.21304634836833936,-0.2030173413184243,-0.20887557824260972
headache,-0.5243766185394301,-0.08200089478389394,-0.008212879349364224,0.07337813454370679,-0.3878750725840785,-0.19077578188635522,-0.26829239011774475,-0.29174504462706163,-0.28318472933304883,-0.2807462219380425,-0.28458106278969175,-0.2809205643611771,-0.2869215721278304,-0.2776477293707097,-0.28377200684685094
fatigue,-0.48234835535316334,0.2703732260094106,0.29797589701829585,0.06081228498543734,-0.2536375538940723,0.0769527183742128,-0.10706820752234435,-0.13051191041954618,-0.11320752174482573,-0.1066766160153445,-0.11462556101769497,-0.10715767248540248,-0.11682503690497026,-0.09860691361808138,-0.11271796139856319
vomit,-0.1361645121839563,0.09751558302464713,0.1761916035837448,0.09499845856100447,-0.7277085196823411,-0.34827297927583317,-0.6979837014171125,-0.6068224130423802,-0.55560955440754,-0.5601264411915168,-0.5690501954336741,-0.5595806289209908,-0.5762847920948779,-0.5468860550079522,-0.5683894896481844
nausea,-0.1131086618987723,-0.24343164898760933,-0.14510354760222893,0.09939007751315758,-0.16162010755657022,-0.1343405645529362,-0.08659479875598672,-0.11843219030006163,-0.12445327024138741,-0.1246729682827144,-0.12313611604606334,-0.12428837937063575,-0.12272453226101004,-0.12616248708273226,-0.12332936226732452
diarrhea,-0.4854980244319824,0.035001443103412244,0.10055933932282178,0.1039709096424391,-2.1615316708608807,-1.3384512708704315,-2.1856864724935114,-2.0996942450954146,-2.02803962410969,-2.003701926310442,-2.0380443409651514,-2.0216515317218122,-2.0439276078591297,-1.959804717360065,-2.0271580253419414
chills,-0.07477705312753256,0.16201902789225694,0.21964974311190347,0.12015539520069529,0.5805584640128167,0.4903225273993919,0.6604733581645682,0.5946377746379704,0.5662285748876112,0.5693586337955889,0.5745288039314038,0.5755763537466625,0.5769016761481921,0.5625868435321641,0.5740205270685719
sneeze,-0.07892806967158744,0.11333853393933892,0.15420624778130598,0.10641143558296345,-0.35334939998122666,-0.16189832118206723,-0.3681693579766272,-0.34446665601962856,-0.32679111093268554,-0.3220755930468621,-0.3297409117528427,-0.32533836353505957,-0.33059814518607467,-0.3108375926445206,-0.32691543503056897
shortness of breath,-0.08332169958817519,-0.14626621800314932,-0.10086021385995583,0.11129260290514376,-0.02768766869545448,-0.06962433462556278,0.07688049054918492,-0.0019701632900718247,-0.03745058972612214,-0.03190174240362011,-0.027707006644820738,-0.025247003054279404,-0.026591841907030067,-0.03665522555125728,-0.027139932989032278
phlegm,-0.08797319386082787,0.05848691427263748,0.09181920892476354,0.29513008093591736,1.1193563448881254,0.789805846995912,1.280140318643205,1.1658895884222737,1.1087690697801433,1.0955720385205066,1.128770793893594,1.110887148821611,1.1175899749488516,1.0848493683241636,1.1150767807010362
blockednose,-0.092900052323193,0.1354273305602487,0.15308330766437872,0.10237240256106428,0.024773905601176816,0.06441103528644931,0.025042015723483968,0.029478106956269998,0.03411045386395075,0.03531517293188824,0.03239508930285068,0.03405266034241772,0.03127675726511614,0.0363682790858324,0.03335223548164015
earache,-0.09812007258840873,0.06520919165987567,0.08921826810083501,0.15161591669474841,-0.01709421762230616,0.033470431532065005,0.01881809745789748,0.007099344595951818,0.007647019301558687,0.00905370216283241,0.007286312180333718,0.008501817936406244,0.00649380496116014,0.009706794269683714,0.00797629472369179
leg pain,-0.10365278693764056,-0.12642688871127872,-0.11772476064284365,0.1583320239225952,-0.10577393314381218,-0.10688795908247517,-0.02382684822223767,-0.09615055434431061,-0.11288035184444056,-0.12264215819171372,-0.11800543978357181,-0.10859584059852567,-0.11636459388500689,-0.12360894289868873,-0.11496217666720299
runnynose,-0.10951928935056082,0.27437166718581596,0.29174562716600977,0.34200977718152625,1.7166844470838478,1.28918035354489,1.7833060043657953,1.7081981741237238,1.688802981117504,1.6814764126087316,1.6901061588402928,1.684807713889229,1.6918397998404169,1.6733934211496622,1.6883825808974318
