symptoms,goviral,fluwatch,hongkong,hutterite,individually_reported,health_worker,age 0-4,age 5-15,age 16-44,age 45-64,age 65+,population
intercept,-0.13836988754796975,-0.18779694651245982,0.030844347817492235,-0.4261607645827604,-0.8879675300606847,-1.579361424551427,-1.4882396556611495,-1.531773566776291,-1.5095674846466358,-1.541597174856251,-1.4466013766508135,-1.5033826063088058
fever,0.20413701801875583,0.13173084930407808,0.8586402458173708,0.33328660556354817,0.9230826336526312,1.6745407618221764,1.5107318671744827,1.5409669426598334,1.5343791343894866,1.5271433438227715,1.4874736280133591,1.523230180144909
sorethroat,0.07700954006695981,0.06144306649072506,0.7204180080464226,0.2200582715223023,-0.0030925503745328,0.17672379061065213,0.03497553727558554,0.028841678459591902,0.028049586508426372,0.03471845117195538,0.035376379548974546,0.03134000533824444
cough,0.08719459156568121,0.11419661463209146,0.6635641896270295,0.300646900152037,0.7113863411273206,1.2060204977533506,1.1153776145232273,1.1508725747285755,1.127595883142609,1.142408626596424,1.086174788495029,1.12573070824071
muscle,0.046506525632612095,0.08370669245990145,0.39663326229418683,0.06507404805331489,-0.12319822607277263,-0.12278980026060218,-0.11349878905553568,-0.11270046368263148,-0.11394165754763197,-0.11263822167247745,-0.11463338290751923,-0.11342209941935028
headache,-0.08198286064074213,-0.008076186708516647,0.40350901966204467,0.07204326063473876,-0.1582188756401212,-0.06333306350007853,-0.13763751234956584,-0.14143406011244114,-0.14225548682321418,-0.13881026254394369,-0.1393387145918964,-0.13963799026492468
fatigue,0.2711606651452906,0.29817055176132645,0.3926322554674423,0.061056335764089364,0.1835565968080256,0.09643765345911351,0.07693523682920167,0.06888311147477266,0.07533606486785499,0.07513699381217376,0.09027677608378615,0.07638844023155739
vomit,0.0982841349608159,0.17639923636163765,0.43923414366938324,0.0953831798681185,-0.2814542240899945,-0.4419204310841474,-0.3545364067883312,-0.35224669956505117,-0.3541101874476592,-0.3590545877784299,-0.3511670794882309,-0.35420456540242645
nausea,-0.24332697770843303,-0.14522965067797336,0.45581921889813476,0.0998010782721302,-0.1622403046221027,0.08403057943737745,-0.04770598780038289,-0.046398469342505244,-0.051727543728599557,-0.04373408727705902,-0.062312642095821325,-0.049979191263564975
diarrhea,0.03412405817752129,0.10072101095214184,0.47291256495782974,0.10440881476943592,-0.7024700874005403,-1.0732337474247953,-1.228111888457319,-1.2426736021323648,-1.1275835021788003,-1.174367400970154,-1.1246221779061563,-1.183063205733732
chills,0.16205019188142722,0.2189306045037562,0.5113974617312073,0.1201151279879821,0.385395306315405,0.568606533628453,0.48490973135940707,0.48963380449930677,0.49933224854584374,0.4963763565640681,0.4732345313918396,0.48854783558258474
sneeze,0.11367771934724741,0.15495354007355439,0.5091517159274683,0.10687193191960062,-0.016575481339006215,-0.03452227842994814,-0.11279870753744764,-0.10950917576993435,-0.07780679288072084,-0.08747337668136013,-0.08977384725734652,-0.0974456213371358
shortness of breath,-0.14521484751446034,-0.10091052546039153,0.5277943457060348,0.11178106180845623,-0.04271092137741206,0.23578686046214875,0.04016948529384494,0.05097566396911482,0.09267506258352312,0.07819018284452145,0.039509596726839485,0.05877276702505013
phlegm,0.058713008298388054,0.09198057828499688,0.6796570848062545,0.29555383153810966,0.47519370837542513,0.9588583564548963,0.8267008935914775,0.8327178213536115,0.830524526918442,0.8277634295538205,0.7708395202609382,0.8166736163814601
blockednose,0.13580241101661197,0.15264329300135893,0.4747791055056295,0.10174306845435976,0.11263418628792242,0.18309307754942572,0.12516281260359674,0.1322677240205699,0.14156972253149191,0.15019930352176958,0.12864900142128055,0.13517804329298344
earache,0.06545897415784263,0.08936677166802366,0.5387896491133842,0.15210027268410697,0.053589669564361855,0.17557735325360618,0.09452109514708329,0.10429005587981313,0.11519571843026982,0.13220272048902737,0.09917229439266913,0.10852422992606431
leg pain,-0.12526458837192433,-0.11779930459288267,0.5579972458915945,0.15882960825309808,-0.025380833251342994,0.2742902984900376,0.02575846495521337,0.0587790041211326,0.1406312531935976,0.16221144305393856,0.06367993574558006,0.09265087962671131
runnynose,0.27440652484684613,0.292902751436016,0.6730978871715412,0.3425245650669452,0.8734224482780274,1.302014842794066,1.2147323135825712,1.225862134222113,1.2298252716262292,1.231810622951553,1.2042410780930264,1.222521634071558
