symptoms,goviral,fluwatch,hongkong,hutterite,female,male,population
intercept,-0.8978303047074003,-0.6220796340621921,1.5878237097068864,-0.6523510372529907,-0.6478612583067171,-0.6165878455399256,-0.6322050266606629
fever,0.5401275990876357,0.4435673802743438,1.6997800322934777,0.5680526955447913,0.7678824400329108,0.75538411896265,0.7616547779742713
sorethroat,0.517124548123344,0.4711711206208009,1.6687678787905158,0.5665244089605028,0.7729215533824942,0.7597818288935185,0.7663736097215674
cough,0.6967590022621761,0.6830768883354608,1.4732094511992306,0.5635293549664557,0.9175203831477889,0.8901497581297528,0.9038742182240009
muscle,0.07098109227319732,0.16620767199815323,0.9723500354734009,0.05171274208162896,0.16748691974862429,0.17212974682828786,0.1697715567008804
headache,0.2589705663881127,0.3417144913462522,1.1013959845693067,0.22171246101068987,0.36230945169179807,0.36319426242145264,0.36275166849900503
fatigue,0.40995309866773133,0.5014387989630953,1.2658520707361647,0.38357223716999805,0.5653704717653071,0.5559501197442009,0.5606726550133114
vomit,-0.054136958503602006,0.06487619830404881,0.883435167698183,-0.04738205924121434,0.026900604938279393,0.03734104082537648,0.03210822051138229
nausea,0.18066089777269848,0.28023498102520367,1.0965532404098797,0.15742496238933507,0.31147532696892266,0.30435821405749575,0.3079267199815403
diarrhea,0.20457122165258032,0.29943888471765995,1.1416759614218217,0.17728176596919304,0.2943901798786236,0.30072690000440416,0.2975040244976652
chills,0.4628505107846726,0.5494780802616848,1.3784063940107425,0.4084828783650804,0.6554170877492995,0.626577133212526,0.6410298851599512
sneeze,0.3400393517824938,0.40024864101173535,1.2970029918744563,0.29861605271281383,0.48905880540040303,0.4741627126852048,0.48162907219697837
shortness of breath,-0.1069790616795141,-0.04802063925823301,0.9430022467461913,-0.15048600768225448,-0.07335605783120691,-0.06251595424213385,-0.06792889094996335
phlegm,0.846485342888729,0.8602962969332213,1.5023505526507364,0.7485185571901419,0.982493365370632,0.9478340950912432,0.9651254768074189
blockednose,0.38763327705808565,0.3996227012449355,1.1713949143200713,0.33242893125185113,0.46361871659465237,0.44918808626707085,0.45640267385103084
earache,0.3983529708569055,0.4109500724806822,1.2012063371100452,0.3418676542659205,0.4803617479885198,0.46414609510487226,0.472242814937587
leg pain,0.397879381596869,0.4019842488157721,1.2136556685743105,0.3310414490564005,0.47628194891536724,0.45906266121529016,0.46769645810645033
runnynose,0.7168475885871017,0.7356568953308866,1.4489551448151945,0.6771676172150088,0.7727400456540461,0.7687380599289213,0.7706998523855502
