symptoms,nyumc,goviral,fluwatch,hongkong,hutterite,clinically_collected,individually_reported,health_worker,population
fever,1.014060461799416,0.39764586971425364,-0.09546165326014815,1.6920192077622545,0.6968651995202533,1.0140604615572806,0.0781926197648062,1.4103093304445016,-0.01913692626522361
sorethroat,-0.2568929612240855,0.3586114533421304,-0.23222931806283814,0.5923420262522796,0.24175627266539187,-0.25689296117163996,-0.04388229292038934,0.7324559067055725,0.6095215150136338
cough,0.95903328012264,0.3266135739905263,-0.05082928454073092,1.244968390141928,0.767217664237785,0.959033280018641,0.05837588588445823,1.2484054709335906,0.6518697422244565
muscle,0.8067525014680691,0.297183162769467,-0.12108730142213994,0.07690087971119457,-0.10728611975268254,0.8067525014993734,-0.1980385663209077,0.0649335903875223,0.2038213892865913
headache,-0.07972642286257735,0.0,-0.017284152816182924,0.2931881563035497,-0.28347713286635867,-0.07972642284962013,-0.18428446168033408,0.10974561945624964,0.3873575215816298
fatigue,-0.7248719339179033,0.42255687132303993,0.0,0.0,-0.03157426903667564,-0.7248719336570701,0.6493410079609839,-0.02227131256437477,0.6782726965894926
vomit,0.012294291825516175,0.17439930506622525,0.0,0.0,0.0,0.012294291746882374,0.2603020139221756,0.0,-0.4758230032370549
nausea,0.5228257924709536,-0.42307572629326445,0.0,0.0,0.0,0.5228257925604641,-0.2992781238912382,0.0,-0.05893665700419679
diarrhea,-0.8221660143921095,-0.10162363193590031,0.12777118360930106,0.0,0.0,-0.8221660143236225,-0.10880198117745395,0.0,-0.39965831319602646
chills,0.0,0.08141156851344605,0.0,0.0,0.12966374975479164,0.0,0.4650005928971291,0.14055844165833065,0.7841047605223076
sneeze,0.0,0.0,0.27279404625500775,0.0,0.0,0.0,0.1914657338579779,0.0,0.3878336783571506
shortness of breath,0.0,-0.6300419777622739,0.0,0.0,0.0,0.0,-0.662013298241156,0.0,-0.44995945607809346
phlegm,0.0,0.0,0.0,0.2757638185772943,0.0,0.0,0.0,0.2275359894966899,0.9778246047179617
blockednose,0.0,0.0,0.13467351880343256,0.0,0.05088807194960316,0.0,0.056716310941466216,0.3551705020963817,0.4049698219227179
earache,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
leg pain,0.0,-0.7761746063081445,0.0,0.0,0.0,0.0,-0.5726861798263023,0.0,-0.6736866148127647
runnynose,0.0,0.39077129998591953,0.6362342162256467,1.0004880248701395,0.36070720465804273,0.0,0.5928488863459842,0.9048902420574757,2.123185350946669
