symptoms,nyumc,goviral,hongkong,hutterite,clinically_collected,individually_reported,health_worker,population
intercept,-0.44471795846898354,-0.13928531951430956,0.04846030546691127,-0.42634075205436517,-1.2652206862735536,-0.4660557316200566,-0.6302549197365761,-0.8249646579081762
fever,0.4360102401080663,0.2032024206217008,0.8557269950532709,0.3321843808803539,1.1671477231705514,0.5149299580333895,0.8904085404510347,0.8767820642188486
sorethroat,-0.11341768441966438,0.07683163555102435,0.7193716681362776,0.22078923853581522,-0.13988133197888752,0.03732865669560117,0.340013227268796,0.06476967786236104
cough,0.09367602839564837,0.08870051460981532,0.6577701222943695,0.29938222923256536,0.7163296214236654,0.3423997554818785,0.6488055133898918,0.5755812831979978
muscle,-0.1350033258771429,0.04660865015966943,0.39843102242801715,0.06462981192435911,-0.11247018761440811,0.02656429813591963,0.16941547027507856,0.01826051353437065
headache,-0.524376618537854,-0.08200089478341774,0.4051383216087968,0.07337813452664282,-0.4146961751216831,-0.10883469946179394,0.15041342744880673,-0.14308163160291443
fatigue,-0.48234835534116804,0.2703732260008518,0.3914858251285606,0.0608122849925985,-0.33434852985530084,0.20959129810466126,0.16020555621983998,-0.0065270174252900215
vomit,-0.13616451217659306,0.0975155830231717,0.4410095732520173,0.09499845856158574,-0.20847957057642014,0.036924526082114634,0.17095606068277253,-0.011616401126003373
nausea,-0.11310866264184856,-0.243431648986475,0.45742899900628853,0.09939007752108675,-0.11266940651106772,-0.22536387436278016,0.2104737622542844,-0.049011887595054746
diarrhea,-0.4854980244690772,0.03500144310351172,0.4743166598843524,0.10397090963998401,-0.9237830295000964,-0.3435058357456475,-0.1449580797046359,-0.4564172112838847
chills,-0.0747770531634249,0.16201902789920908,0.5124329963472756,0.12015539518656863,0.05132861746205066,0.21124493394960098,0.33338787794795693,0.20248907729113352
sneeze,-0.07892806971235279,0.1133385339335045,0.5101979108282602,0.10641143557998038,-0.15858305554016358,0.031074382946809836,0.18681044187303952,0.027504639201454684
shortness of breath,-0.08332169966488236,-0.14626621799353234,0.5287462001263276,0.11129260290533873,-0.11052584705365529,-0.15451869759972625,0.23474836681596836,-0.0019538872491451087
phlegm,-0.08797319393975127,0.05848691427281626,0.6786216915256236,0.2951300809408389,0.20726569847330129,0.22119712191649965,0.5705980100306443,0.3337331135220314
blockednose,-0.09290005237370524,0.13542733056040587,0.47639571104988965,0.10237240256083735,-0.06488944968820447,0.12008869179531495,0.24572172104038414,0.10524102166168287
earache,-0.09812007270096978,0.06520919166528101,0.5388225388925549,0.15161591669472194,-0.07553757419390944,0.05586577882113916,0.29404902509356784,0.09623589397312096
leg pain,-0.10365278699768357,-0.12642688869398244,0.5582276526079076,0.15833202391475779,-0.17001527635804128,-0.16065348571649102,0.2600732934000823,-0.01370219212587942
runnynose,-0.10951928941420289,0.27437166732663076,0.6774427914513412,0.34200977718203707,0.33463867352567456,0.4203073238922304,0.5829907579520346,0.44795405289431356
