symptoms,nyumc,fluwatch,hongkong,hutterite,clinically_collected,individually_reported,health_worker,female,male,age 0-4,age 5-15,age 16-44,age 45-64,age 65+,population
intercept,-0.44471795846201045,-0.18829083399553204,0.048460305467894926,-0.4263407520540254,-2.4440273070995038,-1.8450918424343168,-1.7923592889947781,-2.0753302381604826,-2.0899314958947395,-2.0696325535391584,-2.0830019513827676,-2.0814247672923787,-2.0818910902514345,-2.0694697927581824,-2.0787428857496306
fever,0.4360102401109316,0.13141041576329798,0.8557269950540671,0.33218438088167246,2.32078209249257,1.9494942227908243,1.8490071217167947,2.058777832678261,2.075743151074182,2.063741950038159,2.0661789970451028,2.067798311931953,2.065009262595034,2.063590538988362,2.0659100761423446
sorethroat,-0.11341768442583011,0.061503063420571324,0.7193716681343616,0.2207892385212964,-0.15518780934007081,-0.11280300118459285,0.07736429665055122,-0.08029508383938866,-0.08898157275099355,-0.08104491894016537,-0.08303848975926165,-0.08302254367337658,-0.08287710888872113,-0.07997104970283486,-0.08279066629829847
cough,0.09367602839593259,0.11558614682324153,0.6577701222958021,0.29938222922319047,1.6692795755701975,1.481623159463605,1.3342564012296136,1.5226406341807777,1.5305722167747327,1.5193230040791814,1.5249598272904739,1.5233507712889702,1.5241283129155647,1.5180898441299657,1.5233372039263013
muscle,-0.13500332588182215,0.08378318446764037,0.39843102244167306,0.06462981191893151,-0.29508697748655555,-0.23239788723756505,-0.10969716751652961,-0.19939271914970177,-0.19165462043413117,-0.19473299167323255,-0.19562208510610002,-0.19381297717384482,-0.19799346270470325,-0.1935156218426164,-0.19521378902487913
headache,-0.5243766185377248,-0.008212879357950106,0.4051383216886135,0.07337813452511888,-0.38787507258347587,-0.2672200496384401,-0.12353612883396156,-0.2634017081639325,-0.26300455728105876,-0.25902419681748445,-0.26227607423068033,-0.2606779487713785,-0.263495293574651,-0.2579217706271488,-0.26140274822954523
fatigue,-0.4823483553494796,0.29797589701501054,0.39148582513332464,0.060812284994433696,-0.2536375538922093,-0.04809968669861564,-0.003655785122905042,-0.10904818021372503,-0.11019836147870488,-0.10665701565123031,-0.10937610944572634,-0.10871692464869981,-0.10919642665673623,-0.10561165752854396,-0.10840727581480673
vomit,-0.13616451217299977,0.17619160358440175,0.44100957325691564,0.09499845856001465,-0.7277085197171724,-0.6278227384498265,-0.4396715770181953,-0.5697414623293974,-0.5523675120301818,-0.5588595782808397,-0.5598585524399393,-0.5587612726705689,-0.557442877740838,-0.5556758832535791,-0.5588979163016468
nausea,-0.11310866338976483,-0.145103547606653,0.45742899891800104,0.09939007751611076,-0.16162010783755645,-0.08197705061020699,0.027067434027724994,-0.08114589763837055,-0.08433766016904065,-0.07803554318444123,-0.08078564662371002,-0.08110941820130746,-0.08016921533615029,-0.07589838254289472,-0.08023221985780386
diarrhea,-0.48549802451021984,0.10055933932344037,0.4743166598173686,0.10397090963822342,-2.1615316708922006,-2.074032728193248,-1.7051432836582068,-2.036528120908139,-2.0728488559802316,-2.0509574308216623,-2.054766587335962,-2.0302250718710075,-2.0405758440433766,-2.0473121161454935,-2.047758832136591
chills,-0.07477705316761407,0.21964974310247232,0.5124329963546141,0.12015539521551727,0.5805584640085902,0.6402963611431953,0.6181214557226984,0.6013504385609068,0.5923951468873321,0.5960562448205995,0.5959635512436632,0.5995542952584977,0.597709440374449,0.5959126319658293,0.596965262843243
sneeze,-0.0789280697165301,0.15420624777735592,0.5101979108260725,0.10641143558288746,-0.35334939999273,-0.3150770679691344,-0.22192154583059748,-0.31181916666864273,-0.32292143304895193,-0.3174929564172578,-0.3174061613798509,-0.31108589794834257,-0.3134491113547362,-0.3161119967901069,-0.31579018050159857
shortness of breath,-0.08332169967116829,-0.10086021386089143,0.5287462001240804,0.11129260290507849,-0.027687668706073233,-0.048839186113493915,0.12031031459467396,-0.016739344012523805,-0.026235374289426128,-0.01826981313480218,-0.018593342093507163,-0.009627864450403534,-0.015097600827450042,-0.01602614102675856,-0.017241856728100663
phlegm,-0.08797319398138426,0.0918192089204381,0.6786216915220695,0.2951300809356813,1.1193563448806854,1.1672497737496441,1.1332948369751121,1.148216685748528,1.1489413822173522,1.147244129617632,1.147735459632365,1.1461213362119829,1.1470075221897287,1.1470798195717047,1.1474790077438557
blockednose,-0.09290005241819091,0.15308330768231776,0.4763957110067565,0.1023724025615137,0.024773905586057063,0.044320204632667504,0.08503432534305527,0.04772798545991554,0.046396172724450464,0.04766685751121558,0.046890944974762816,0.049377119440829106,0.04864486495927545,0.04871241199187215,0.04791133065717147
earache,-0.09812007268798024,0.08921826809721455,0.5388225389284834,0.15161591669424648,-0.017094217639239847,0.014318969199128548,0.09662562757371922,0.025122989592338253,0.023780942134841342,0.025902563325524385,0.024158273663868052,0.02888238592411898,0.02725672015748257,0.02794321338744746,0.02614063926583349
leg pain,-0.103652787071358,-0.11772476065447518,0.5582276526054037,0.1583320239220271,-0.10577393315636067,-0.09942102394661406,0.05289891007886189,-0.09834733540669657,-0.09870156028300481,-0.10063660380248604,-0.10180880953406232,-0.09670559106449295,-0.09410044160098499,-0.09591513480305058,-0.09800580582000107
runnynose,-0.10951928943841498,0.2917456271628517,0.6774427914451704,0.3420097771811488,1.7166844470803828,1.7549898100422152,1.5580345054247322,1.6981863967545805,1.6977805480709458,1.6984714766686766,1.6979245062667132,1.6968389902515661,1.6973679311797392,1.6979463309395253,1.6978210697308338
