symptoms,age1,age2,age3,age4,age5,clinically_collected,female,fluwatch,goviral,health_worker_facilitated,hongkong,hutterite,individually_reported,male,nyumc,total
intercept,-5.051295404388259,-2.2565314244744004,-2.367348183999054,-3.5061671350844223,-3.2725730951234087,-2.4626500348067917,-2.158895082083682,-0.6381599191395299,-1.3553302696675877,-2.6467964432378386,-2.9530914511173494,-0.7434984393168229,-0.8445460976511936,-2.5538673663221747,-2.4626500348067917,-2.328801026390222
fever,1.5093761478605834,4.614315096426537,4.977506758422516,3.3794615284941054,-0.6400872591787001,2.3724726560814946,2.438421034711259,0.016235105076557805,0.5761682384833305,1.6393405128368952,2.295022359687564,0.7730031655932977,0.28066589022378347,1.9806348395088855,2.3724726560814946,2.1986366161068336
sorethroat,-0.10919657052069189,-0.4338656342490443,-0.8918869695415331,0.7722391880847712,-0.6233699423349099,-1.1353065292591316,-0.35329721929357294,-0.4620838070875323,0.6080640487786522,0.9101343321286866,1.0669114170567129,0.40223796860862465,-0.04719267530110551,0.03355311998392355,-1.1353065292591316,-0.17721421383864636
cough,2.807715845253092,0.7286709579037495,1.833584885907435,1.253134427627605,5.987071777736239,1.8134795595149398,1.0320596439751046,-0.3205721701397732,0.7665818896062451,1.797067589291831,2.2041613335304615,0.7182612226432974,0.09953268113732057,2.3567758403132375,1.8134795595149398,1.6655777630386372
muscle,-1.4895664750950817,-0.39533017850688135,-0.4860071333807077,0.1888018871513646,-1.1510214289603227,0.20445029852621135,-0.18649924996437772,0.10320093877722361,0.12076967729789208,0.022059683234767865,-0.03241288230801346,-0.08874125171597559,-0.012070192291001208,0.22119636513512642,0.20445029852621135,-0.07811126249297008
headache,-0.5746186421862205,-0.3983192267331997,-0.13103327581977306,-0.47895180130973203,-0.6951782037554333,-2.579018605896573,-0.3263250321499481,-0.12453088251219163,0.0,-0.031626082100838886,-0.042977213251252006,-0.378577706358062,-0.34547787156049387,-0.15723814716666518,-2.579018605896573,-0.25228300708633694
fatigue,0.9807535099260543,0.07721380723265334,0.42817278992026325,-0.8204674837325474,-1.0411014884004823,-2.8267300688666466,0.061819295111814686,0.0,0.4625260619215932,-0.19369531489551298,0.0,-0.2638681925195929,0.7184997996040805,-0.744944150855188,-2.8267300688666466,-0.1342944438618
vomit,-1.6001618258709696,-0.6059623261457404,0.5508821780170119,-2.009480200578022,-3.274528802594966,-0.3075651833135833,-0.4870049550619044,0.0,0.5684203302966142,0.0,0.0,0.0,0.2367151953877879,-0.06080669440229624,-0.3075651833135833,-0.3063166778414167
nausea,-0.09697857192925587,-1.432675234565324,-2.921151710885912,0.40800092977949026,4.312137973797927,-0.10308368687212477,-0.5407834291078095,0.0,-0.6543828941417686,0.0,0.0,0.0,-0.741447711968885,0.5125573897121506,-0.10308368687212477,-0.11207512642546745
diarrhea,-1.3507904108471107,-2.5493599553759743,-4.868299429119784,-2.7373717207166544,-0.43730721434709946,-3.6120852995021573,-2.363521236896053,0.009453420193226104,-0.5001967904501075,0.0,0.0,0.0,-0.014264469023442552,-2.852311322855967,-3.6120852995021573,-2.4632925093781957
chills,1.6401306891374228,0.6745883422642619,0.7880955125931105,0.7022282642894736,0.3958893605797084,0.0,0.7059829938135794,0.0,0.15891989955008048,0.12149064575492007,0.0,0.16669652950964461,0.35691681279452925,0.5589308312243751,0.0,0.49194755515739663
sneeze,0.4606038022694327,-1.0338465761729296,-0.3315106090466772,-0.557336248964191,-0.06555171405499649,0.0,-0.4612089219506394,0.5475461751265795,0.0,0.0,0.0,0.0,0.19761972027503874,-0.4521240676710089,0.0,-0.43535811550647235
shortness of breath,0.0,0.0,0.16278294135091953,0.4671813848005436,0.014544153893419287,0.0,0.4458153675965232,0.0,-0.6523769669915248,0.0,0.0,0.0,-0.5486450304197891,-1.0661966708612691,0.0,-0.2050586956580886
phlegm,2.054917525662984,2.795618186176198,0.844389697034507,1.9080094432684087,-1.8733748197490614,0.0,1.4257363271525043,0.0,0.0,1.1683131969856022,1.1106663825551968,0.0,0.0,0.9886318220768305,0.0,1.189939085335123
blockednose,-0.9520661459345522,0.22368503007012105,0.16767077869604133,0.902667127212407,-0.6316714620890583,0.0,-0.11944390780293664,0.2920283197511129,0.0,-0.2677288957301096,0.0,-0.5101105915356402,0.21170054790061935,-0.022275106177153316,0.0,0.028561950565934836
earache,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
leg pain,0.01912865631294684,0.02581211317883975,1.207881983989394,0.036328330664441986,-0.28724248156739934,0.0,0.2466770951716997,0.0,-0.7432985883719243,0.0,0.0,0.0,-0.5713379549294803,-1.418456760530838,0.0,-0.391170398563517
runnynose,5.090930460849543,2.7323930626727453,1.696232552139123,1.3217901037216782,0.04513124210569221,0.0,1.888679717641632,0.7439167370246236,0.9207923927942775,1.6373056919957267,1.8015090898205823,0.8766858824313057,0.8055036339515957,1.5041198764589983,0.0,1.673432306540187
