symptoms,nyumc,fluwatch,hongkong,hutterite,clinically_collected,individually_reported,health_worker,population
fever,-0.068619331578296,0.005359465618610745,-0.04033703367025457,-0.03843945098890847,-0.0720770611738687,0.004159086697994183,-0.046694723416273676,-0.06598910988178175
sorethroat,-0.07303224023232513,-0.08462569104912118,-0.03966675933627474,-0.050053626515105254,-0.0700283971066756,-0.08840114221399462,-0.050510167817813034,-0.06793560351067837
cough,-0.016357508882582014,-0.04283128581675734,-0.03552758905880159,-0.030755911477449042,-0.021039731575990678,-0.05247816583644313,-0.032321902137864594,-0.03471817145848351
muscle,0.0018857780545792433,0.05686993124827673,0.1077009727007126,0.02682799714140023,0.005004361193297786,0.051270706160387314,0.0432063197909498,0.029927750094562847
headache,0.04174366879416072,-0.020151331291092124,0.0002975299338904844,-0.007666625815251543,0.038201486170167054,-0.021995530362653892,0.01193739132725042,0.011342428533828754
fatigue,0.022593860192738596,0.008842181169278762,-0.01980016538491615,-0.055887862370670366,0.022744413877238967,0.00868583773675894,-0.03067161516375517,-0.002411471870581036
vomit,0.0534273489642388,0.017643708123549602,0.005182033487012808,0.009301185444831883,0.03320804267522144,0.02014068189546281,0.010155383815680166,0.015450370267325722
nausea,-0.0021511665035041545,0.025156216841854484,-0.007082663983289623,0.015811535210884978,0.00045858844722233144,0.0202217669023578,0.0036186625369796456,-0.004445370007699914
diarrhea,-0.005236796230256425,-0.0026304344829098467,0.0074544933406731455,0.014075665693154452,-0.00490693851920425,-0.0037274186438887354,0.02016904763826398,0.010854587282854218
chills,-0.00012905612627358605,0.0035120079555921203,-0.015374397126793476,-0.02732691509283456,0.016582251380300547,0.0034791903333155107,-0.016631442480333714,-0.006612113585942796
sneeze,0.01654976613561361,0.035595908998969264,0.0051740812289934515,0.02095613624967109,0.02609282520234381,0.036267116012180994,0.014916423217190937,0.028271968339177514
shortness of breath,0.006125157651960731,0.016531938356760048,0.006878045093476436,0.012124863917894232,0.004477073630267541,0.015666233350614026,0.02119710041619432,0.014765922139327863
phlegm,0.008290552032835748,0.0011215808256428935,0.03143280599012244,0.012205104380368856,0.009375358175784193,0.008017835643999001,0.02066408502773795,0.017182062233901008
blockednose,-0.010973941386112438,0.11733458552857506,0.007003661884130746,0.10037008035404307,0.005637351641129046,0.12498725986334222,0.06856329967187325,0.06381444417729631
earache,0.01308792681046711,0.0037216903800481142,-0.018226198394834386,-0.024058299988114228,0.01221599071934595,0.014390283470047324,0.0036961791313481172,-0.002529718786452915
leg pain,0.016170160346912016,-0.018790485425335554,-0.010512526759490604,-0.005924759030347072,0.006445167353559551,-0.016270029034230166,0.009027068181505393,-0.0001496781812162177
runnynose,-0.002570953412703819,-0.01716938547227151,-0.0021530811045124987,0.0019588415406163757,-0.01227278931359371,-0.01837082463222585,-0.005470567368261764,-0.009435695993409748
