symptoms,goviral,fluwatch,hongkong,hutterite,clinically_collected,individually_reported,health_worker,population
fever,-0.06573396599151793,-0.061404549583204376,-0.029398656333192177,-0.04911356188907853,-0.06679620337208611,-0.07175342264902601,-0.04664808160496986,-0.07676294341792445
sorethroat,-0.03998794257354665,-0.05862112034497416,0.015007477387389404,0.011420591421256773,-0.0461628680673461,-0.04265077234841004,0.002716567571324227,-0.040156463180194835
cough,-0.041765784614194584,-0.11669942040802087,-0.010922372835002296,-0.019907503369507,-0.055583796415434705,-0.06302095485514173,-0.018344573377056292,-0.05985326042167699
muscle,0.004894031731049123,0.030175729331111983,0.013373622960407387,0.03434206588429563,0.018576108956617682,0.015373349766621712,0.0546949173884482,0.01088260390754843
headache,0.02509472306165974,-0.04240917569908567,-0.013854816331266815,-0.045732950719223286,-0.18680847785476384,-0.029406205615624306,-0.03490862471849697,-0.10714732232176616
fatigue,-0.005527521710867789,-0.008020598512777862,-0.015437134099329956,-0.1124199183431901,-0.04286477434633923,-0.007720053672270258,-0.15308467653102786,-0.04794090960094967
vomit,0.042240005279702064,0.004102092624664268,0.009011942572807175,-0.0003207191132801081,0.03418388373458636,0.033606199034611275,0.00823655801825695,0.03545019073179072
nausea,-0.0499394962783595,0.010659130955431147,0.03650036858422592,-0.02053773357421894,-0.17140808001796204,-0.04837383419380786,0.08486415895050525,-0.16307664980733771
diarrhea,-0.10729876064623156,-0.09577314405471177,-0.00046355325919907953,-0.015085061405766466,-0.07362633936690163,-0.1071500615242375,0.015908925452506238,-0.0729582359744538
chills,0.023895851594349378,-0.0022995375275352975,0.010582252926664613,-0.01700269780884342,-0.0343410002839373,0.012694900445752867,-0.003249416220544743,-0.009148320861316585
sneeze,0.011130345629349572,-0.01746371238373505,-0.023966893255531196,0.002192009941174817,-0.020500072771770843,-0.007090799633008599,0.01634042081052188,-0.00016746243598950508
shortness of breath,-0.0004885983696358842,0.01682346804518825,0.008739266635558525,0.055597822044252704,-0.010194639661007924,0.006638553579936035,0.0020839078174238806,0.0012824757515805356
phlegm,0.012525163578186477,-0.0034001897709743985,0.007037275604479634,-0.0034839704387891954,0.04084956218693939,0.011434928083165825,0.007929038001564189,0.029039521236276677
blockednose,0.0277704616527841,-0.061197482090765615,0.015453253864631887,0.0343261978315261,-0.013473457558179268,-0.016845383296393096,0.025427303415265307,-0.007136093534746531
earache,0.002795813220989129,0.03136199195439536,0.01481199269389559,-0.004198784717468474,-0.004922571482609238,-0.011534840520466567,-0.009439472966437094,0.049084958017163005
leg pain,-0.029719825584801865,-0.020025455656549368,0.000976586227911927,0.033520342830761066,-0.022795519018219246,-0.026289261159304328,-0.015073345606849378,-0.023197887120838756
runnynose,0.012798448786466354,0.013301869795353173,0.010354825253711581,0.032797443293335116,-0.001342942344182185,0.011037804835403765,0.027336522349701707,0.012432945288945039
