symptoms,goviral,fluwatch,hongkong,hutterite,clinically_collected,individually_reported,health_worker,female,male,age 0-4,age 5-15,age 16-44,age 45-64,age 65+,population
intercept,-0.13836988754796176,-0.1877969465120813,0.03084434781774359,-0.42616076458313695,-2.9068146706993674,-1.1512370720976777,-1.7958605548710067,-2.0701725532716093,-2.0682592942400495,-2.0413792679247678,-2.1072805312075014,-2.076364182885624,-2.104052707261138,-1.9952660520813312,-2.06806023109343
fever,0.204137018017584,0.13173084930410386,0.8586402458175122,0.3332866055635267,2.7716699544526677,1.2465864079150464,1.8493527348679855,2.0083155683248286,2.043778329558884,2.0307370346816116,2.0417850771940205,2.033293493454316,2.038175518029674,1.9779467408212996,2.025553530715548
sorethroat,0.07700954006699023,0.06144306649072506,0.7204180080464196,0.22005827152176663,-0.1618429357187594,-0.04124810994181373,0.074922247441926,-0.05217921748303961,-0.07080226528374997,-0.06461179905189389,-0.06585959667750613,-0.0663866355209356,-0.06685810244306101,-0.06331848843166565,-0.06433937504735843
cough,0.08719459156589626,0.11419661463204162,0.6635641896265716,0.3006469001511804,2.0326164639729365,0.9672102416302831,1.3346904114835436,1.508207719962572,1.5026712802864444,1.4950507989348008,1.530206577297625,1.5005961115499242,1.5221241028048775,1.4619158740619111,1.5034821526365147
muscle,0.04650652563289383,0.08370669246042081,0.396633262294328,0.06507404805313981,-0.3347649085738972,-0.12700000405051878,-0.10979145711811444,-0.1686577822587352,-0.17033297724575025,-0.1775607552158771,-0.18151342657894545,-0.17581391313209777,-0.18205169848620006,-0.1714528964241333,-0.1754377070201953
headache,-0.08198286063956191,-0.008076186708471586,0.40350901966198593,0.07204326063462513,-0.3579374673496476,-0.19053695711008792,-0.12391830679288518,-0.22255057542629503,-0.22992419193143668,-0.23112206504014138,-0.23622057144378358,-0.2319067297268782,-0.23483653899910809,-0.2267076454080496,-0.230580206431512
fatigue,0.27116066514607157,0.29817055176132645,0.3926322554676697,0.06105633576389641,-0.20869606886664682,0.07594839138326304,-0.0032142280931734823,-0.06551534391363373,-0.06605171901766438,-0.0634176030983753,-0.07220482342068094,-0.06519898684871328,-0.07239228663137587,-0.05332489002446483,-0.0655720324771705
vomit,0.09828413496022198,0.1763992363648794,0.4392341436693191,0.09538317987008316,-0.8701637336266308,-0.3473766987996208,-0.4376441649734074,-0.5139024342383856,-0.5102877122080326,-0.5238386938131314,-0.5361640650891453,-0.5284703608645085,-0.5210719303801854,-0.5072188095132755,-0.5204528759583495
nausea,-0.24332697770816858,-0.14522965067784632,0.45581921889795785,0.09980107827405699,-0.1777651118616323,-0.13611741112217557,0.02710906126545093,-0.08173840931186083,-0.09624291163096155,-0.09686481233780253,-0.09821987794659104,-0.09055605526675192,-0.09277617476850603,-0.11452542855343761,-0.09583923752616626
diarrhea,0.03412405817757502,0.10072101095135338,0.4729125649578415,0.10440881477061179,-2.6120852995021573,-1.3376921331176765,-1.6967367010153411,-1.9469561779579418,-1.9807576121469728,-1.9960226918463557,-2.0247330096526386,-1.9293423942120067,-1.9711127625603078,-1.9197188560494203,-1.9688311339799847
chills,0.16205019188172123,0.21893060450385238,0.511397461731309,0.12011512798791717,0.742849107385019,0.4904028310967773,0.6184270188667941,0.602282781538104,0.5922116058994399,0.6049337376542654,0.608110126291639,0.5987316098413379,0.600779100898102,0.5911446143991596,0.600060510547935
sneeze,0.11367771934807362,0.1549535400737202,0.5091517159275871,0.10687193191871501,-0.42013341802347254,-0.16282696551068257,-0.22060064122145673,-0.28473144224150004,-0.2963127361975876,-0.29871538640336087,-0.3067907344557257,-0.28320976315956814,-0.2910974328497703,-0.282511346086039,-0.29183008264083654
shortness of breath,-0.14521484751426528,-0.10091052546022612,0.5277943457059535,0.11178106180636081,-0.012673121094345418,-0.06909702624542169,0.1200486655500875,0.005820674137040238,-0.020584585270301714,-0.017047546940559714,-0.014820039912072034,-0.0034307951270685366,-0.009963992303752445,-0.018416864474904517,-0.011459206885275797
phlegm,0.05871300829789983,0.0919805782850806,0.6796570848062831,0.2955538315385651,1.395775478365527,0.7896618873310981,1.1330024971388901,1.130204727518005,1.1238754450859645,1.1356150935489033,1.1466849201178133,1.1222725088534067,1.123907144164289,1.1063709336765781,1.1273249008673836
blockednose,0.13580241101661594,0.15264329300193966,0.47477910550550784,0.10174306845435976,0.07457262046966327,0.0642791252381586,0.08496986978056253,0.07025264907120878,0.06647795816800836,0.06859278707100558,0.06888706858224763,0.07008168167406308,0.06970489079063436,0.06834081443227524,0.0689736934165811
earache,0.06545897415778365,0.08936677166917818,0.538789649113443,0.15210027268593435,-2.9314342516119395e-09,0.0336099520853955,0.09736944119709838,0.05220813088092856,0.03916502125146938,0.0370382687639109,0.039907694682465904,0.04539981095703692,0.052144580868726205,0.043147005086550935,0.04414074671388058
leg pain,-0.12526458837192433,-0.1177993045915906,0.5579972458941319,0.15882960825523357,-0.09404547875176784,-0.10632027309052428,0.053229738417946815,-0.07840274075975165,-0.08074485880006854,-0.09848636203870038,-0.09885596292658365,-0.0778772880925569,-0.07993872117530681,-0.09083936394592601,-0.08538204071291217
runnynose,0.27440652484687367,0.2929027514351792,0.6730978871716375,0.3425245650671418,2.0117447394773125,1.2889223510944179,1.5566650518530742,1.6049801421882548,1.6111915411357869,1.6097257562585088,1.6214322118361613,1.6075132780734107,1.613310042150835,1.5975583266147095,1.6097169518638172
