symptoms,nyumc,goviral,fluwatch,hutterite,clinically_collected,individually_reported,health_worker,population
fever,0.9379216454129811,0.3965737175196751,-0.09587294881956013,0.6930806443101996,1.0155776343156342,0.07874787839918154,1.3754109762867555,-0.019214918166032553
sorethroat,-0.25680834514672546,0.3570558297558346,-0.2321306215185014,0.24329666229542818,-0.25799691021676086,-0.04406244772699083,0.7302094011822837,0.609331327393061
cough,0.9387466062491066,0.32620622390869236,-0.051044058539496395,0.7579000667342588,0.9618499428607103,0.058791197531346956,1.2363437780201036,0.6565934881124058
muscle,0.7939534745144388,0.29702937424239806,-0.12161436262784614,-0.1077854637271769,0.8093577380066492,-0.1978436193579674,0.06519872062758414,0.2046580483626564
headache,-0.07978840375210908,-1.4987245634467489e-06,-0.0173777090805022,-0.278614809353386,-0.07986642751470488,-0.18506454997776045,0.11021185480676426,0.3885306942094423
fatigue,-0.7203713590049272,0.4216298457650888,3.957799382277072e-05,-0.03170132281674294,-0.7250749544318631,0.6459331548013771,-0.022366895538155837,0.6774257217511355
vomit,0.012348117721442557,0.17513253208619128,4.420620127813343e-05,4.1934789161709215e-05,0.012348370036673426,0.2602999213243429,-2.1886908203551806e-05,-0.4752320533051716
nausea,0.5236467385385539,-0.4215484986668562,-2.700651507151226e-05,4.328763444332368e-05,0.5239456127529338,-0.30063332271429244,2.998014244163575e-06,-0.059196912897165874
diarrhea,-0.8160321939893929,-0.10206307044408122,0.128335784366938,4.287759732885808e-05,-0.8245224974432879,-0.10925688343233028,-5.3433468563483235e-06,-0.4014487819126634
chills,1.604813670876557e-05,0.08105421923874506,4.318616905147176e-05,0.13068251891728971,2.1507810546323788e-05,0.46433095334190344,0.1415881381885159,0.7812875422863577
sneeze,2.2675637417332033e-05,4.492896676713477e-05,0.27287967579475503,3.983697593137086e-05,2.0011959179708816e-05,0.19228338469231715,3.209887877539111e-05,0.3887564730757508
shortness of breath,2.260966571943753e-05,-0.6258861314927389,-4.640311729492425e-05,4.0920109149015016e-05,2.044244590157544e-05,-0.6595396385283556,-4.6026655025381994e-05,-0.4519544334810214
phlegm,0.00047618727379596207,3.422024504994391e-05,3.0929064146454724e-05,4.40440395239905e-05,2.1728423469222788e-05,4.3840324047819896e-05,0.22963613709185626,0.9683658469144683
blockednose,1.5872930915560647e-05,3.5712042173964624e-05,0.1352663991919279,0.05110657194628053,2.1056406621951028e-05,0.05714482087158901,0.35659439799841275,0.40665049136099474
earache,2.1391390629663645e-05,3.57145668645075e-05,2.9059399966353637e-05,3.8680437788491754e-05,2.0420283340545773e-05,8.822843056559992e-06,-8.291458367501052e-05,2.0780757980898764e-05
leg pain,-6.015127596011065e-05,-0.764632197007125,-4.012711670884429e-05,3.7445307386374605e-05,2.0752791163129575e-05,-0.5726012629315784,-3.315806372017739e-05,-0.6730293938506948
runnynose,9.608236359493201e-05,0.39034176367798623,0.6273520188576995,0.36376301336715255,-5.387880181667397e-05,0.5696974237279222,0.9052851271129934,1.8426663003614507
