symptoms,nyumc,goviral,fluwatch,hongkong,clinically_collected,individually_reported,health_worker,female,male,age 0-4,age 5-15,age 16-44,age 45-64,age 65+,population
fever,1.0146546378512342,0.39787886534103856,-0.09551758782260591,1.5228172869860357,1.014654637608969,0.07823843575294961,1.4111356835677928,0.1148865085101643,-0.1085757862714716,-0.5121052842844345,0.09199232587790124,0.035300418551010265,-0.2906835031436885,-0.031806218145974396,-3.2962637315959533
sorethroat,-0.2570434844435481,0.3588215772405754,-0.23236538992888678,0.5926891016582934,-0.25704348439107316,-0.043908005201397926,0.7328850800884115,0.6245040211034762,0.6719679603705073,0.16972158476480714,0.7292875788297739,0.5169683946354231,0.5918286473869463,0.8028561480728489,-0.01914814103134456
cough,0.9595952136852106,0.32680494913154046,-0.05085906732464113,1.2456978638080431,0.959595213581161,0.05841009050509452,1.2491369585141991,0.6607353423311995,0.6500936302428015,-0.2909366748388369,0.7048237452492356,0.7466258214656221,0.5925443423706844,0.5983899443244833,0.6098786588145677
muscle,0.8072252080119118,0.2973572935289013,-0.12115825101281674,0.07694593882039982,0.8072252080432241,-0.19815460454336348,0.06497163741313905,-0.008332366583101273,0.4126027086978148,-0.1223841095044115,0.6368196665377825,0.2909367391141854,0.4432939083650358,-0.01174515976454403,0.6522516968219372
headache,-0.07977313756347396,2.9296875e-06,-0.01729428024947359,0.2933599462388823,-0.07977313755050824,-0.1843924408571015,0.10980992353014851,0.2879724602450645,0.582205947185956,0.922308513439646,0.6246065281671707,0.4292320585273256,0.09719188481714996,0.11764616388699645,0.20394081481291204
fatigue,-0.7252966635666973,0.4228044632398279,2.9296875e-06,2.9296875e-06,-0.7252966633057101,0.6497214812078278,-0.02228436216158082,0.6805690325308786,0.5785867505810738,1.8815877202656677,0.6897997395763817,0.9191524645686617,0.316084554355205,1.0034351165091815,0.38758448980447946
vomit,0.012301495512132568,0.17450149215903543,2.9296875e-06,2.9296875e-06,0.012301495433452964,0.2604545346334607,2.9296875e-06,-0.5668636960983819,-0.04359052641168898,-0.99610839005308,-0.29060786783077397,0.20857993022060106,-0.500464031057247,-1.0523119610469083,0.6786701218944946
nausea,0.5231321357087282,-0.4233236222266351,2.9296875e-06,2.9296875e-06,0.5231321357982963,-0.299453482166961,2.9296875e-06,-0.10109912268495225,-0.06485106401819646,-0.057239882656482416,-0.17918218181817502,0.09112431762893053,0.7106202498269067,0.4579658757202817,-0.4761017822214646
diarrhea,-0.8226477522911684,-0.10168317703273902,0.12784604953719725,2.9296875e-06,-0.8226477522226334,-0.10886573233829941,2.9296875e-06,-0.373686290293873,-0.6293756628779903,-1.0119594334527435,0.26974112921170623,-0.5469972306355322,-1.023660165582203,0.31974885867089,-0.05897119491852801
chills,2.9296875e-06,0.08145927060437069,2.9296875e-06,2.9296875e-06,2.9296875e-06,0.46527305418202525,0.14064080012023983,0.6532501399547663,0.9593660251416527,2.0513581575334374,0.41315420777315215,0.5268392400238169,0.6418227971131643,0.18186052764633598,-0.39989248122187937
sneeze,2.9296875e-06,2.9296875e-06,0.2729538865164842,2.9296875e-06,2.9296875e-06,0.19157792081140673,2.9296875e-06,0.36469098133158706,0.4323446474972874,0.6721956908893607,0.20126328222855738,0.5362092049802205,0.7263284045338307,1.0531839568485681,0.7845641990855308
shortness of breath,2.9296875e-06,-0.630411142983613,2.9296875e-06,2.9296875e-06,2.9296875e-06,-0.6624011966580916,2.9296875e-06,-0.10309652411888509,-0.7921839804876378,2.9296875e-06,2.9296875e-06,-0.5193781664777872,-0.7203295678419439,-0.5184684646463338,0.3880609255470717
phlegm,2.9296875e-06,2.9296875e-06,2.9296875e-06,0.275925398939742,2.9296875e-06,2.9296875e-06,0.22766931136553203,0.9709809511581313,0.9895653320018378,1.224909588374154,1.0336270078544874,0.4516412501666981,0.6785372374962206,0.8602930131035011,-0.4502231069504037
blockednose,2.9296875e-06,2.9296875e-06,0.13475242906835544,2.9296875e-06,2.9296875e-06,0.05674954315490824,0.3553786098124603,0.3939231264165233,0.505578079095687,-0.4099602167061063,0.5365584597700737,0.5244534774331704,0.532808397347508,0.45062292331165754,0.9783975477130846
earache,2.9296875e-06,2.9296875e-06,2.9296875e-06,2.9296875e-06,2.9296875e-06,2.9296875e-06,2.9296875e-06,2.9296875e-06,2.9296875e-06,2.9296875e-06,2.9296875e-06,2.9296875e-06,2.9296875e-06,2.9296875e-06,0.4052071099148481
leg pain,2.9296875e-06,-0.7766293961165176,2.9296875e-06,2.9296875e-06,2.9296875e-06,-0.5730217381347973,2.9296875e-06,-0.22122074257127122,-0.843794478820135,0.06891625738837887,0.4527623517719529,-0.4019909461724621,0.49403597639715724,-0.008019272275090764,2.9296875e-06
runnynose,2.9296875e-06,0.39100026754450035,0.6366070097117218,1.0010742483222264,2.9296875e-06,0.5649488178479247,0.9054204511836639,2.1052682067610515,2.1458229277883936,3.301466913484667,1.8358883605417957,1.8693919246455253,1.6763096145994232,1.6902991596918722,-0.6740813598500179
