symptoms,goviral,fluwatch,hongkong,hutterite,clinically_collected,individually_reported,health_worker,female,male,age 0-4,age 5-15,age 16-44,age 45-64,age 65+,population
fever,-0.018680818197258326,-0.32750865472014734,-0.07520747365111659,-0.23813366163875788,-0.09863699889219169,-0.13738357134317877,-0.1811493574206418,0.11417877069687599,-0.6131647218223116,-0.1368804036901472,-0.057036677426404225,-0.02977283491490721,-0.14028859915231107,-0.0960258464975452,-0.16708147129251139
sorethroat,0.10823162853203316,-0.19828049752399227,0.16328663056148668,0.03160195864895814,-0.01508521088763358,-0.15672758909011508,0.06183385493022926,3.291494774514819e-05,0.08981486045626215,0.2407846775437782,0.08134842100428252,-0.007568427530572918,-0.06809771232058129,-0.030243593432660004,-0.10844238018890347
cough,0.23984329405047522,-0.3141437121589423,0.06655838100791228,0.20262511220114426,0.23011242662676207,0.12207900585963304,0.21150422451142034,0.23620851863172718,0.18748408797240695,0.23747867565739528,0.1604114502697191,0.18053155543968763,0.18407103374669134,0.221611775532397,0.23151364353704612
muscle,0.15215438544542448,-0.0465036517206551,-0.10648748577468345,-0.02304985828508058,0.0017922549349303676,-0.026761650545725543,0.11405213765349169,-0.04277686928737008,0.019945570292387,-0.10998597851937175,-0.04885635204601348,0.06734857360393709,0.0336376218378585,-0.04412958705906306,-0.05261464853271243
headache,0.027734466184936878,-0.015178300590361245,0.47186016144241355,0.09365381743239862,0.08011655762720993,0.0844598070155323,0.11633911346269334,0.1673271313284012,0.14990747848775743,0.2562986000259649,0.08930137059489779,0.09909497220856686,0.08066206874583245,0.2744510893523165,0.5215939320609824
fatigue,0.18898891104657245,0.011724978134523781,-0.0034526648826510072,-0.16695633005786611,0.16064660425120458,0.16185979975616682,-0.011390861719653039,0.047754531707530856,0.32889761742356693,0.09769923973304531,0.20135581474295294,0.10140311832440622,0.14945511301926373,0.1804950965033844,0.13632987841182967
vomit,0.17793467920786493,-0.04327651989284688,-0.02532847609299361,0.010108091464454662,0.03248260233292194,0.13158172829856418,-0.011947619918309662,0.03364935313431586,-0.15985633493502943,-0.03835193788198157,-0.004055579927956262,0.2247240410005525,0.09057094520007487,0.05248752266536853,0.13947841192427857
nausea,0.048064736752612705,0.028161287289297836,0.005683759963306053,0.0013220141704858757,-0.053126741998278326,-0.06245860996199035,0.024515323435896588,-0.2382747893611254,-0.07421248104047519,0.23684221605532918,-0.4218459336850999,0.3239317630142682,-0.09527924913428745,-0.06926427285786171,-0.20757621632863738
diarrhea,-0.12188796665973568,0.39837781003806,-0.01177398683476349,0.012823309803287962,0.041981979151217444,0.042350394100173924,-0.0034721073158521885,0.011084678406541218,0.04670562470498141,0.014327808172138374,0.11752696707022083,0.12780973736291096,0.04007076459061125,0.1175234578281088,0.38304498744841203
chills,0.13041474258635577,0.0027171026833978642,0.004277956209205709,0.4764237582819863,0.0010475719638960235,0.156748241300935,0.22855720083308823,0.19163501936832306,0.21781597355457216,0.16274121378128975,0.15280348706923894,0.24346500177567099,0.17290968036760182,0.09899443983780806,0.17519330690076318
sneeze,0.003032439981592307,0.28240217194275463,-0.03143040226709336,-0.010936847560608965,0.005001573908245356,0.2314416850848486,0.020381395177704972,0.09757098351297287,0.16437629715634985,0.19408262437466495,0.7860159250316172,0.13698636213349055,0.14025898215734162,0.12312807717540304,0.2826868337423618
shortness of breath,-0.019148453209353836,0.012420211832757933,-0.010065730058847661,-0.003923157620934887,0.014117071171142288,-0.05491970695641679,0.024735312898938565,-0.09440577834688028,-0.025032074698125746,0.003847503432195402,0.010002655125630696,0.0023880267685471067,-0.03331890575553477,-0.07104657890739463,-0.002990764673640591
phlegm,0.03163435825081852,0.01864184189146924,0.2917008366725818,0.14032841430454446,-0.0037324911336946683,0.007726654700315942,0.17772431156384513,0.0922374323370302,0.11376455097545932,0.09970772559651869,0.11989846006953886,0.11268812748173157,0.12638365925946474,0.11775035861996985,0.08025900614933693
blockednose,-3.31542591317372e-05,0.27554915982410977,-0.02507757794358091,0.08420388963261277,-0.014744454845947247,0.07089720049922203,0.130759893406928,0.003184687331240443,0.20768092196754068,0.10706361991647717,0.41355200104919754,0.07848474344296134,0.1102881041931095,0.1251251835254762,0.1729080365961701
earache,0.006213828974240745,0.015209431764814714,0.010233131715602767,0.004057530912581014,0.026713391253126068,-0.006203766639756686,0.004824427385956866,0.009822135688470693,0.00853087445263902,0.020054821214368884,0.020633990608685843,0.0017269201589227637,-0.0072557842517193185,0.004085640617315658,0.08725571630757
leg pain,0.03067580854137223,-0.04107123465376821,0.03719134390808985,0.03087903534459254,0.02575194919196924,-0.02371945990658555,0.003825016765231071,-0.12945444534741818,0.024758453573144067,0.2311490491370588,0.004591541221213326,0.06378859790068649,-0.03226232164950486,0.01410223713347174,-0.009221857423454185
runnynose,0.14075427059685053,0.06153627092212199,0.04815784634863203,0.011395050122289488,0.010645426218231828,0.03556840871284196,0.021728327806817053,0.059471130217880336,0.031165397875755712,0.046656103494897606,0.11620335354737377,0.07086340544390274,0.012758999972784983,0.004439949217117654,-0.04642335330317205
