symptoms,goviral,fluwatch,hongkong,hutterite,individually_reported,health_worker,female,male,population
intercept,0.0023761122085574904,-0.02444988846615881,2.258289820681335,-0.051511608069891635,-1.1154524304960287,-1.014177662400706,-1.7534081041613843,-1.6075013271995984,-1.6841108354981302
fever,0.29031879388904436,0.2404708113071627,2.011970655290739,0.7136384925522741,0.5409342114971707,1.1604244890059823,0.9155138820851048,0.903545325157851,0.9098195958201611
sorethroat,0.2865930593375,0.28325953990743447,1.8690585604742052,0.6027127254969435,0.5347234071432,1.0572177386756882,0.9088631771494342,0.8852048592077698,0.8979236716970693
cough,0.35774182425376877,0.38310753267577996,1.5744982191529,0.4801622400656502,1.0091987587869395,1.425228730612792,1.460156765569813,1.4046448453391593,1.4350041975816017
muscle,0.06106645148646611,0.19248527364589807,1.400799583265766,0.28375637514482405,-0.1735406146014139,0.06077075615624927,-0.19510577017069303,-0.16522130040623917,-0.18073491246434842
headache,0.1407035421716098,0.2643621691411203,1.40177840705897,0.325598685393367,0.1190756470316906,0.37685040995670754,0.14120586592157663,0.16661348452217953,0.15335215093617088
fatigue,0.4278350493397166,0.5117315458818273,1.342801256463756,0.2552147916679836,0.53994713621678,0.6504062489704043,0.560833936731855,0.5676465929626777,0.5642132257960634
vomit,0.10692625379958764,0.246931790335472,1.4507615106784326,0.3339127721279142,-0.30965443347889765,-0.17926380060739744,-0.4902721941852222,-0.4070924397452029,-0.44695299477984485
nausea,0.30420873470253595,0.40143422630927605,1.4912461951642797,0.3484304091109601,0.08202972578056292,0.20749051583877764,0.047509281988210916,0.08178418820503985,0.0639600846954462
diarrhea,0.3086065089498674,0.413894923182115,1.517645967959348,0.36373470114183243,0.1080337584475545,0.25372164936497443,-0.0577664231190599,0.0397750701565055,-0.014016728288636982
chills,0.45108743750035407,0.5418235605823655,1.5592338001946378,0.36212980661015326,0.5730377151525181,0.7634530013880108,0.7304924291525295,0.7111330931435289,0.7215461508633899
sneeze,0.43096566319141166,0.4904312913697852,1.5995218826748592,0.381966,0.3413913630030669,0.5034369171790989,0.36703039580246904,0.39401534173664415,0.37993059034128107
shortness of breath,-0.09598659272960886,-0.06363395547558778,1.6372404200786415,0.3985838969253191,-0.5062483990241475,-0.33699528288445935,-0.8119545409735309,-0.6716822678319062,-0.7442206520789107
phlegm,0.3696881866927084,0.40635856851531155,1.6680171857081474,0.6306633291217174,0.9577660520042444,1.606568709681065,1.4601434176373078,1.4151665853639166,1.4381904776567422
blockednose,0.4540327792143981,0.4691569905487398,1.50456381823267,0.4227071165151546,0.33684411653326635,0.46133009853787943,0.33584587140018474,0.355233507480605,0.3450790938643438
earache,0.3974650864409698,0.41298601507105004,1.582201434731274,0.47565997462962323,0.2923927960815151,0.4984959103351789,0.3456156027899306,0.36481913311106523,0.3545220961693996
leg pain,0.453577990849689,0.46209686791492155,1.6180339748439998,0.4947943078317177,0.3048393901101323,0.4808521618188508,0.34053878246717084,0.3625037181549887,0.3508381480865573
runnynose,0.5303954158736968,0.574463711338306,1.7048510118913522,0.5978768125671308,0.9646960399705968,1.4467304449667715,1.3175062696806485,1.2928365310447414,1.3080557650511087
