symptoms,nyumc,goviral,hongkong,hutterite,clinically_collected,individually_reported,health_worker,population
fever,0.9954362586083647,0.396052066603926,1.4557479270979639,0.6939260501361768,1.014173655160449,0.07879619465650031,1.4029346749621099,-0.019194525383106405
sorethroat,-0.2564066913883397,0.3572602638964717,0.5943355626571172,0.2436301311215548,-0.2568023727790223,-0.04402320047561792,0.7295898845256232,0.610072135607681
cough,0.9449368442553965,0.32705934024466965,1.2144446336294439,0.7610674781264959,0.9616641746376353,0.0588195177582988,1.2406311192746617,0.6569703089899144
muscle,0.8003890850898088,0.2966782434074824,0.07749395556307828,-0.10758889223723361,0.8072522787215883,-0.19842501541709828,0.06508512658828455,0.2043101042612569
headache,-0.07972493027504973,-3.860175630343342e-05,0.29408753892555517,-0.28290950273765736,-0.07980674225009823,-0.18480042118290285,0.11066348870687398,0.38736918368213036
fatigue,-0.719466272880994,0.4220639435107397,3.0883833094210834e-05,-0.03166230825900071,-0.7259150819678948,0.649058469111109,-0.022322594140399568,0.6765131115368537
vomit,0.012327777467463774,0.17493792185805734,3.2714345992770356e-05,1.6178250609539055e-06,0.012332873619836926,0.26106824435264686,-5.910976513380149e-05,-0.47531117790551314
nausea,0.5220668059018045,-0.42165351527779016,3.227732204190622e-05,1.610893666072682e-05,0.5231512278023149,-0.30172949721252795,-3.368008505135556e-05,-0.05910033896217749
diarrhea,-0.8161448457476532,-0.10195296614941554,3.502902270011013e-05,1.6739258070747745e-05,-0.8229158818496161,-0.10969061210682104,-4.57551423743071e-05,-0.4008481576321611
chills,1.5842006660196823e-05,0.08204289387622726,4.013861849256805e-05,0.13068391896094161,1.2635402778891749e-05,0.46490670263881506,0.14102059199597083,0.7815390891006364
sneeze,1.4907562782767977e-05,2.0271923346995173e-05,3.609765251843489e-05,-2.157509045708851e-06,1.1906301569765654e-05,0.19206465442271664,-4.532789296431074e-06,0.3824208980799134
shortness of breath,1.5416684039235922e-05,-0.6276778059951316,3.904199529176616e-05,6.070602930243724e-06,1.2280023549997431e-05,-0.6641934685987989,-5.091866090220945e-05,-0.4511683989337386
phlegm,1.4290560543534987e-05,-1.6813350344420294e-06,0.2778142799294553,2.3084989914013978e-05,1.360880902127831e-05,2.165046526049955e-05,0.2293211275809015,0.9722757412986227
blockednose,1.4170377681261958e-05,0.00010117132904751434,4.134585760522282e-05,0.051306885171212416,1.2297357705662424e-05,0.05702786286867184,0.35424083611326296,0.40619996625380717
earache,1.4973954105082193e-05,2.5668157445965078e-06,3.3902589714441425e-05,9.667791623841702e-06,1.2037873616779734e-05,-5.7578369399446006e-05,-2.834938266337452e-05,-1.3287962377164101e-05
leg pain,1.56907673264239e-05,-0.7692954057809875,3.8184782628418085e-05,4.0946008533670255e-06,1.2537463739570198e-05,-0.5774457495025209,0.0004767105432723006,-0.6730341339933061
runnynose,1.5203983393740927e-05,0.3905702041593464,0.9876202503677143,0.3626427510699741,1.667445994269322e-05,0.56949173648594,0.9074919000754071,2.0738193095310686
