symptoms,goviral,fluwatch,hongkong,hutterite,clinically_collected,individually_reported,health_worker,population
fever,0.5739998784808067,0.01604231793865151,1.970144421728243,0.7747308187448649,2.3719183927854894,0.2823962402434148,1.6485953961929956,2.1999000477622754
sorethroat,0.6077666168302613,-0.4604947632957497,1.0711814717992514,0.40213313038686394,-1.1337987852301072,-0.04731241242579491,0.9083754220673326,-0.17813721980435476
cough,0.7596827621359594,-0.3198322799991379,2.10937735633538,0.7157834397704943,1.813566725098985,0.1001266595403815,1.8054698826861086,1.6613116957234824
muscle,0.12047070913471938,0.10345731099130989,-0.03250840909874382,-0.08900438366084815,0.20496632281212074,-0.012094477938915753,0.0220970534554562,-0.07831851344934282
headache,1.9758103312614285e-05,-0.12483372483407335,-0.04229805581879789,-0.37756306867265654,-2.5673384336746086,-0.345025008353505,-0.031768183783757994,-0.25381065019055493
fatigue,0.4620579334955113,0.0004912935023133676,-3.763581076587985e-05,-0.2635265616800283,-2.8050151730526443,0.7157847067448135,-0.19425144881731332,-0.13505209331192236
vomit,0.5662270703305317,2.8516721836134603e-05,9.035813063184759e-05,2.7821828532901992e-05,-0.30838823207128097,0.2381049566778669,1.3847593732011962e-05,-0.30636898923148004
nausea,-0.6519370559740096,1.0539694520941475e-05,1.1644264434329196e-05,2.5176033223419334e-05,-0.10346827787029739,-0.7388973031309474,1.54734761422951e-05,-0.11263444089413141
diarrhea,-0.49834966752261556,0.00949780612298327,-4.255989447013545e-06,2.8165663061748227e-05,-3.614388792068003,-0.014340579065282251,8.28813951674914e-06,-2.4334546422494245
chills,0.1598546910563458,3.017523220773356e-05,1.957308696694356e-05,0.1670158848280025,2.049047834682366e-05,0.3565313452433123,0.1216726531401042,0.49172004633054067
sneeze,3.055009172552257e-05,0.5463984830401865,8.492799462945618e-06,2.5674033695130526e-05,1.4056699863481847e-05,0.19813131953960456,1.2440180580037593e-05,-0.4349751557318947
shortness of breath,-0.6504288162003518,1.1967695801766578e-05,6.462763327664091e-07,2.599047948554766e-05,1.450960555834477e-05,-0.547910828920444,1.4450935243634055e-05,-0.2083511590012671
phlegm,3.014764944194153e-05,2.2038018880526125e-05,1.1145547995850156,-3.163907649448002e-05,2.2520281313845334e-05,2.299953493774773e-05,1.1707377081120067,1.1860134632780683
blockednose,3.130292702307747e-05,0.2917715743214533,-4.4453704898154254e-05,-0.5082531627679348,1.8051464839935282e-05,0.21231774965409483,-0.2676681830846839,0.028624886616306994
earache,2.9451053190357358e-05,2.1552396902522092e-05,1.5878072470807322e-05,2.4893186323363334e-05,1.681825655321939e-05,1.5544977098457238e-05,1.545698022163806e-05,1.618688331874819e-05
leg pain,-0.7402769999696885,1.149346350246191e-05,3.98158736073511e-06,2.442262665726161e-05,1.4067109655044111e-05,-0.5706633984457972,1.2910954690646928e-05,-0.39130312347943264
runnynose,0.9124237552950516,0.7385846234901519,1.7577494269256437,0.8701577477829887,2.3950377663034512e-05,0.8106418906398729,1.6394278590911786,1.6793551691262083
