symptoms,goviral,fluwatch,hongkong,hutterite,individually_reported,health_worker,female,male,population
intercept,-0.13836988754798085,-0.18779694651210954,0.030844347817926554,-0.4261607645835367,-0.46929865327425374,-0.8972180456041479,-1.2378805951163472,-1.2164078311874842,-1.2269704594161632
fever,0.20413701801880596,0.13173084930310017,0.8586402458175699,0.3332866055636547,0.47001956157263225,1.090234942522825,1.1944207297051503,1.2078755745977259,1.2013918883614834
sorethroat,0.07700954006694394,0.061443066490659004,0.7204180080463991,0.22005827152228424,0.03406018272233697,0.2633968559613785,0.07013947327988856,0.058985684248714934,0.06397058892396398
cough,0.08719459156603082,0.11419661463197356,0.6635641896265716,0.3006469001527676,0.33218150002224245,0.7809709244053558,0.8673806156763236,0.8613158236220624,0.864583845039978
muscle,0.04650652563293728,0.08370669246027758,0.3966332622939939,0.06507404805331012,0.055870929534248125,0.15541763636462336,0.06071960652477504,0.05901913573272127,0.05996704607765986
headache,-0.08198286064071693,-0.008076186708522351,0.4035090196619381,0.07204326063486777,-0.07564490579256838,0.09485879339306155,-0.05121927703243501,-0.05636070721180682,-0.05353945096349466
fatigue,0.2711606651457138,0.298170551761244,0.3926322554676697,0.0610563357642917,0.2039538588075015,0.07925549717900685,0.0642320491233686,0.06567710555581108,0.06523916697820845
vomit,0.09828413495968519,0.1763992363711058,0.43923414366952246,0.09538317986823944,0.07702455221901022,0.10700721682281153,-0.00796149901975518,-0.013517413414089893,-0.01089966009816934
nausea,-0.24332697770816303,-0.14522965067762666,0.4558192188981057,0.09980107827427018,-0.17468627389275893,0.1748661034808013,-0.010239434641209133,-0.023717428608516222,-0.016837704462991418
diarrhea,0.03412405817758879,0.10072101095156936,0.472912564957812,0.10440881477059129,-0.29709281307834806,-0.5765617588766372,-0.7905084847638739,-0.8012926740265707,-0.8005432185115846
chills,0.16205019188203443,0.21893060450414575,0.5113974617312959,0.12011512798796514,0.2501136836695933,0.4048670217289979,0.36632133950997425,0.35979660808846115,0.36340948505760273
sneeze,0.11367771934731748,0.15495354007302098,0.5091517159276118,0.10687193191981378,0.05378805375516546,0.06954873274405071,-0.011309912466837824,-0.02282228436347067,-0.017303494765427863
shortness of breath,-0.1452148475143772,-0.1009105254601068,0.527794345706017,0.11178106180761427,-0.14155502037711548,0.15678287930897633,0.00453426092780751,-0.014330296598001224,-0.0039053139469867604
phlegm,0.05871300829868382,0.09198057828627304,0.6796570848045328,0.2955538315387961,0.22153237241850096,0.6865366707818916,0.5984789507135913,0.5816751912065219,0.5890627518379021
blockednose,0.13580241101667487,0.15264329300261062,0.474779105505518,0.10174306845435976,0.11618355362979192,0.17750379893093954,0.13708716716859987,0.1312426888631764,0.1337158084197308
earache,0.06545897415781689,0.08936677166953844,0.5387896491146652,0.15210027268624884,0.06730350941812278,0.24165438376050485,0.15214598266006474,0.13733261458539214,0.14515083182395544
leg pain,-0.12526458837192433,-0.11779930459234171,0.5579972458910647,0.15882960825345194,-0.16432724118558067,0.12457567861110587,-0.03899060940882779,-0.02601622978907092,-0.03355133114001896
runnynose,0.27440652484687367,0.2929027514362339,0.673097887171459,0.34252456506734186,0.4140042169525847,0.7662088756806545,0.7331708135260739,0.7298498076372347,0.7337795906095053
