symptoms,nyumc,fluwatch,hongkong,hutterite,clinically_collected,individually_reported,health_worker,female,male,age 0-4,age 5-15,age 16-44,age 45-64,age 65+,population
fever,-0.10572187660965496,-0.4132076953663115,-0.06310954040812378,-0.09645574641610868,-0.11923444185561125,0.09391894897663372,-0.09727201679666081,-0.08511119161051503,-0.24279907778243154,-0.10510599694747835,0.10999487898005411,0.02965982794632173,-0.1757031195798966,-0.048873683780082736,-0.13046384270991473
sorethroat,-0.43984484524607337,-0.08194378643910002,-0.024915508454177185,0.2347276928015356,-0.064068730840114,-0.1903453505966104,-0.05004650643691976,-0.13268352162051472,-0.06000472501287879,0.16102088263170955,-0.09208495179425283,-0.0297183347780956,-0.044282312198863236,-0.08474655785922992,-0.024397989293577192
cough,0.07091206851670007,-0.08279588973707852,0.1740119964615633,-0.22464588339078673,0.14760144066298028,0.0797706597567549,0.1698973003168082,0.11651753551644445,0.12233875447953857,0.20240164682239928,0.22591991149651525,0.13292951256010196,0.24381331292927522,0.15894323841349975,0.1933124234076778
muscle,0.10520156995414102,-0.2987999099971357,0.1583533131633983,-0.4397135822744368,0.1540644300338462,0.0525039393854066,0.0776661602605542,-0.012829683443276946,0.19570634024630684,-0.060876477702812556,0.16928315916622083,0.14081156951623203,0.16820097540116483,0.09219038714400839,0.15911182642163801
headache,-0.623117458230842,-0.04022110698118059,-0.007456852028175941,-0.3842098462446906,-0.24791800648439505,-0.08646192910395026,-0.03630115786497154,0.13224446921331506,-0.16367909258981023,-0.05681434647500429,-0.13494088842552399,-0.026354254548923914,-0.014860025704866983,-0.07890815654904919,-0.08047957225526986
fatigue,-0.22162736648654935,0.05964886668077587,-0.013355028254974394,0.0025842242537757205,0.07754193094262951,0.13733777131789024,-0.07160504496318322,-0.0007976236956886706,0.17522291261825834,0.04357990884038644,0.03927836416241494,0.1876895887204736,0.18715839449264032,0.07526737614522089,0.07299469429571506
vomit,0.11525937281003254,0.0019622997829863804,0.008838059348164597,0.006297521760188687,0.023969168196710456,0.032981083566830494,0.024255193035650456,-0.11254121666749237,-0.15510542645752662,0.00852329149182945,-0.05462395614902607,-0.1309403129351701,-0.04511794527383047,-0.016262867771769475,-0.023882315689825705
nausea,0.02992983292261186,0.001125719578673699,0.009608222408256813,0.017714951788113456,-0.061469085416883035,-0.044448357381732126,0.0089093030026502,-0.1752802625056919,-0.22528949098628076,0.04595535438835556,-0.27367023679795854,0.24905892102380572,0.019728648648505417,-0.014084577588982279,-0.06486906866604966
diarrhea,-0.34011950460128737,0.4788311206564215,-0.006020610807017748,-0.011611359992815014,0.06039473289112579,0.10406272743059719,-0.0019199956640668864,-0.17985896785916816,-0.07019812976466597,-0.01277006357787825,0.06425330178408513,0.048170001098757534,-0.0004246840441268149,0.1310102426980017,-0.35848577231569123
chills,0.029183633529747646,-0.005160146719254204,-0.012227858299678512,0.021499568726959965,0.00875206547292346,0.00606682529259755,-0.025793849337225675,0.10886484142115316,0.04239350994788745,-0.020404001130137996,-0.00886341411782629,-0.06227712375453971,0.04920822191265117,-0.027129466815861397,-0.10880280735244528
sneeze,-0.005014255715502439,0.05991119379009972,-0.024936115284181846,-0.011089459460055042,0.010986037808147296,0.08275258936002017,0.010854666854566559,0.32685107200094154,0.009263524532159666,0.07782291261908081,0.10738957265505009,-0.05047942956113559,0.030485864796342514,0.029610296700404083,0.07174644527472664
shortness of breath,0.017642304907373063,0.028169523719109288,0.017410033667454985,-0.00044685644081248496,0.07071388509689741,0.0295040358403365,0.018575660155813495,-0.048476425525138034,0.001838970298322775,0.002000994295435837,0.040347876739829175,0.03853033519396043,0.029791947041063305,-0.010274866401348193,-0.1391186360862092
phlegm,-0.0005090944684093134,0.002987657933029877,0.1439913361778489,0.011160058386995854,0.0022001459019511645,0.006020140688741129,0.044090207110760685,0.0829839866853502,0.05590772441827666,0.09561945326212373,-0.006334895180423556,-0.02403135779010198,0.10140563943270234,0.022759951846856905,0.1036760954775523
blockednose,-0.004523744703997252,0.4535324308403198,-0.004647624160950446,0.19571642864018662,-0.007413788951056061,0.03274477530343582,0.20730588139737155,0.27076490362163896,0.04496572444730064,0.10904214018273935,0.1029204390266529,0.1272744371900283,0.10281551739618267,0.13268741893175803,0.14447833955088774
earache,-0.0011162195643759595,-0.006851673727729645,-0.012233326007111488,0.008326786080660849,0.007956536336012579,-0.015153936253278466,0.010577535496757273,-0.00785930728940403,-0.013398392400524074,0.018536738419292403,0.03632243888287756,-0.0034881265015762226,-0.014226217455335071,0.024536670163793996,0.0033183691409223587
leg pain,0.00679501815998273,0.03046074386416224,0.008927146943031415,0.027153818244104053,0.01946773437050308,0.03728310460293081,0.008288638698458708,-0.05164997838078615,0.052524010400020874,0.10322022345702048,0.04401805316399655,0.006713604941472526,-0.036385520550609195,-0.03810515494332209,0.016761548973122306
runnynose,-0.002942956258135382,0.17322329292259003,-0.013943775833036093,-0.07509896329359583,0.006189316022758237,0.002141219316455625,0.002021666958660528,-0.06811658994538294,-0.02707731566896137,0.029468703417286864,0.024893401315816965,0.013362906446886091,-0.008916517209639277,0.013955862314321063,-0.026196834525234844
