symptoms,goviral,fluwatch,hongkong,hutterite,female,male,population
intercept,-0.897830304527097,-0.6220796340546909,1.5878237097211034,-0.6523510372538325,-0.6478612582522678,-0.6165878454849745,-0.6322050266050456
fever,0.5401275990868345,0.44356738027888104,1.6997800322943424,0.5680526955433888,0.7678824400338559,0.755384118963832,0.7616547783521486
sorethroat,0.517124548122324,0.4711711206207798,1.6687678787927354,0.5665244089580852,0.7729215529883169,0.7597818289090509,0.7663736095314506
cough,0.6967590022567531,0.6830768883355981,1.4732094511274205,0.5635293549661504,0.9175203831299501,0.8901497581171622,0.9038742182071451
muscle,0.07098109225216542,0.16620767199836572,0.9723500354718735,0.05171274206720744,0.1674869197407589,0.17212974682078586,0.16977155669305477
headache,0.25897056639303134,0.34171449134137544,1.101395984563493,0.2217124610098501,0.3623094516917842,0.36319426242378,0.362751668494182
fatigue,0.40995309865104296,0.5014387989525048,1.2658520707326715,0.38357223716926564,0.5653704718203484,0.5559501197375105,0.5606726550374549
vomit,-0.05413695849229905,0.06487619831588487,0.883435167681092,-0.047382059241979385,0.026900604943549844,0.03734104082378309,0.032108220513233476
nausea,0.18066089777775804,0.2802349810284592,1.0965532404035436,0.15742496238905826,0.3114753269698908,0.3043582140599985,0.3079267199777844
diarrhea,0.20457122165311606,0.2994388847150771,1.1416759614195318,0.1772817659684003,0.2943901798763604,0.3007269000045263,0.2975040244977596
chills,0.46285051078766204,0.5494780802211545,1.3784063940030589,0.40848287836081976,0.6554170877357547,0.6265771331966501,0.6410298851451425
sneeze,0.3400393517855519,0.4002486410075812,1.297002991864129,0.2986160527086607,0.48905880539691193,0.4741627126833479,0.4816290721940776
shortness of breath,-0.10697906167037652,-0.0480206392593353,0.9430022467429849,-0.15048600768357104,-0.07335605782878396,-0.06251595425043144,-0.06792889095284727
phlegm,0.8464853428847536,0.8602962969305546,1.5023505526454646,0.748518557189036,0.98249336536377,0.9478340950886033,0.9651254767934312
blockednose,0.3876332770655155,0.3996227012423517,1.1713949143133298,0.3324289312524076,0.46361871659359877,0.4491880862615622,0.4564026738481636
earache,0.39835297086064875,0.4109500725010435,1.2012063371030004,0.34186765426886234,0.48036174799233333,0.464146095112739,0.4722428149434354
leg pain,0.3978793816241736,0.40198424881443984,1.213655668569796,0.33104144906264305,0.4762819489209704,0.4590626612248402,0.4676964581138119
runnynose,0.7168475885832539,0.7356568953269906,1.4489551448087572,0.6771676172146722,0.7727400456356588,0.7687380599249893,0.7706998523774127
